,shortName,playerName,team,efficiency,8+DefendersInTheBox,avgTimeBehindLineOfScrimmage,rushingAttempts,rushingYards,averageRushYards,rushingTouchdowns,season,seasonType,week,gameId
0,D.Cook,Dalvin Cook,MIN,6,6.25,2.62,16,40,2.5,0,2018,REG,1,2018090904
1,P.Lindsay,Phillip Lindsay,DEN,3.15,40,2.41,15,71,4.7,0,2018,REG,1,2018090911
2,J.Ajayi,Jay Ajayi,PHI,3.41,33.33,2.65,15,62,4.1,2,2018,REG,1,2018090600
3,P.Barber,Peyton Barber,TB,4.09,31.58,3.02,19,69,3.6,0,2018,REG,1,2018090906
4,L.Miller,Lamar Miller,HOU,3.44,15,2.8,20,98,4.9,0,2018,REG,1,2018090905
5,M.Gordon,Melvin Gordon,LAC,3.88,20,2.83,15,64,4.3,0,2018,REG,1,2018090908
6,K.Hunt,Kareem Hunt,KC,5.3,25,2.88,16,49,3.1,0,2018,REG,1,2018090908
7,M.Breida,Matt Breida,SF,4.6,36.36,2.93,11,46,4.2,0,2018,REG,1,2018090904
8,D.Henry,Derrick Henry,TEN,7.93,40,2.61,10,26,2.6,0,2018,REG,1,2018090903
9,J.Williams,Jamaal Williams,GB,4.69,20,2.75,15,47,3.1,0,2018,REG,1,2018090912
10,K.Dixon,Kenneth Dixon,BAL,4.03,61.54,2.54,13,44,3.4,1,2018,REG,1,2018090900
11,A.Peterson,Adrian Peterson,WAS,4.67,50,3.04,26,96,3.7,1,2018,REG,1,2018090909
12,J.Wilkins,Jordan Wilkins,IND,5.63,21.43,2.89,14,40,2.9,0,2018,REG,1,2018090902
13,B.Powell,Bilal Powell,NYJ,3.83,25,3.16,12,60,5,0,2018,REG,1,2018091000
14,S.Barkley,Saquon Barkley,NYG,3.47,27.78,2.91,18,106,5.9,1,2018,REG,1,2018090907
15,J.Conner,James Conner,PIT,3.53,51.61,3.02,31,135,4.4,2,2018,REG,1,2018090901
16,R.Burkhead,Rex Burkhead,NE,4.31,22.22,2.68,18,64,3.6,0,2018,REG,1,2018090905
17,C.Hyde,Carlos Hyde,CLE,5.6,22.73,3.22,22,62,2.8,1,2018,REG,1,2018090901
18,R.Freeman,Royce Freeman,DEN,4.01,66.67,2.97,15,71,4.7,0,2018,REG,1,2018090911
19,J.Howard,Jordan Howard,CHI,3.27,,2.88,15,82,5.5,0,2018,REG,1,2018090912
20,D.Lewis,Dion Lewis,TEN,3.64,31.25,2.69,16,75,4.7,1,2018,REG,1,2018090903
21,M.Lynch,Marshawn Lynch,OAK,4.67,18.18,2.58,11,41,3.7,1,2018,REG,1,2018091001
22,I.Crowell,Isaiah Crowell,NYJ,2.1,,2.76,10,102,10.2,2,2018,REG,1,2018091000
23,C.McCaffrey,Christian McCaffrey,CAR,3.22,30,2.77,10,50,5,0,2018,REG,1,2018090910
24,T.Yeldon,T.J. Yeldon,JAX,4.25,57.14,2.79,14,51,3.6,0,2018,REG,1,2018090907
25,E.Elliott,Ezekiel Elliott,DAL,3.92,13.33,3.34,15,69,4.6,1,2018,REG,1,2018090910
26,A.Morris,Alfred Morris,SF,4.42,33.33,2.48,12,38,3.2,0,2018,REG,1,2018090904
27,L.Murray,Latavius Murray,MIN,3.75,36.36,2.66,11,42,3.8,0,2018,REG,1,2018090904
28,J.Mixon,Joe Mixon,CIN,3.13,11.76,2.92,17,95,5.6,1,2018,REG,1,2018090902
29,K.Drake,Kenyan Drake,MIA,5.55,35.71,3.25,14,48,3.4,0,2018,REG,1,2018090903
30,T.Gurley,Todd Gurley,LA,3.8,,3.02,20,108,5.4,0,2018,REG,1,2018091001
31,S.Michel,Sony Michel,NE,4.67,,2.59,10,34,3.4,0,2018,REG,2,2018091612
32,K.Drake,Kenyan Drake,MIA,4,,2.78,11,53,4.8,1,2018,REG,2,2018091604
33,T.Coleman,Tevin Coleman,ATL,3.35,25,2.61,16,107,6.7,0,2018,REG,2,2018091600
34,M.Brown,Malcolm Brown,LA,4.15,75,2.88,12,46,3.8,0,2018,REG,2,2018091609
35,D.Cook,Dalvin Cook,MIN,4.64,20,2.81,10,38,3.8,0,2018,REG,2,2018091602
36,J.Mixon,Joe Mixon,CIN,4.51,38.1,2.99,21,84,4,0,2018,REG,2,2018091300
37,D.Henry,Derrick Henry,TEN,5.18,27.78,2.94,18,56,3.1,0,2018,REG,2,2018091607
38,A.Peterson,Adrian Peterson,WAS,8.88,,3.26,11,20,1.8,0,2018,REG,2,2018091608
39,D.Johnson,David Johnson,ARI,3.66,15.38,2.9,13,48,3.7,0,2018,REG,2,2018091609
40,J.Williams,Jamaal Williams,GB,3.98,,2.44,16,59,3.7,0,2018,REG,2,2018091602
41,A.Kamara,Alvin Kamara,NO,4.08,69.23,2.48,13,46,3.5,0,2018,REG,2,2018091603
42,M.Mack,Marlon Mack,IND,4.59,10,3.1,10,34,3.4,0,2018,REG,2,2018091608
43,A.Ekeler,Austin Ekeler,LAC,3.2,27.27,3.12,11,77,7,0,2018,REG,2,2018091601
44,M.Lynch,Marshawn Lynch,OAK,5.19,44.44,2.92,18,65,3.6,1,2018,REG,2,2018091611
45,C.Hyde,Carlos Hyde,CLE,5.13,31.25,2.75,16,43,2.7,1,2018,REG,2,2018091603
46,A.Morris,Alfred Morris,SF,4.71,35.71,2.45,14,48,3.4,0,2018,REG,2,2018091610
47,S.Barkley,Saquon Barkley,NYG,6.39,18.18,3.21,11,28,2.5,0,2018,REG,2,2018091613
48,P.Lindsay,Phillip Lindsay,DEN,2.44,7.14,2.5,14,107,7.6,0,2018,REG,2,2018091611
49,J.Howard,Jordan Howard,CHI,6.09,,2.56,14,35,2.5,0,2018,REG,2,2018091700
50,T.Yeldon,T.J. Yeldon,JAX,3,20,2.56,10,58,5.8,0,2018,REG,2,2018091612
51,D.Lewis,Dion Lewis,TEN,4.7,28.57,2.49,14,42,3,0,2018,REG,2,2018091607
52,K.Hunt,Kareem Hunt,KC,3.26,27.78,2.49,18,75,4.2,0,2018,REG,2,2018091605
53,T.Gurley,Todd Gurley,LA,5.62,52.63,3.07,19,42,2.2,3,2018,REG,2,2018091609
54,J.Wilkins,Jordan Wilkins,IND,2.43,50,2.34,10,61,6.1,0,2018,REG,2,2018091608
55,M.Breida,Matt Breida,SF,2.45,,2.75,11,138,12.5,1,2018,REG,2,2018091610
56,L.Miller,Lamar Miller,HOU,3.6,21.43,2.72,14,68,4.9,0,2018,REG,2,2018091607
