,shortName,playerName,team,efficiency,8+DefendersInTheBox,avgTimeBehindLineOfScrimmage,rushingAttempts,rushingYards,averageRushYards,rushingTouchdowns,season,seasonType,week,gameId
0,M.Gordon,Melvin Gordon,LAC,4.83,55.56,2.75,18,54,3,0,2017,REG,1,2017091101
1,M.Gillislee,Mike Gillislee,NE,4.89,53.33,2.5,15,45,3,3,2017,REG,1,2017090700
2,J.White,James White,NE,4.3,10,2.3,10,38,3.8,0,2017,REG,1,2017090700
3,L.Miller,Lamar Miller,HOU,3.96,11.76,2.58,17,65,3.8,0,2017,REG,1,2017091005
4,T.Montgomery,Ty Montgomery,GB,4.74,26.32,2.78,19,54,2.8,1,2017,REG,1,2017091010
5,J.Charles,Jamaal Charles,DEN,5.66,20,3.24,10,40,4,0,2017,REG,1,2017091101
6,T.West,Terrance West,BAL,4.19,26.32,2.89,19,80,4.2,1,2017,REG,1,2017091002
7,C.McCaffrey,Christian McCaffrey,CAR,5.76,23.08,3,13,47,3.6,0,2017,REG,1,2017091011
8,D.Cook,Dalvin Cook,MIN,3.94,40.91,3.04,22,127,5.8,0,2017,REG,1,2017091100
9,D.Freeman,Devonta Freeman,ATL,6.34,8.33,2.98,12,37,3.1,1,2017,REG,1,2017091001
10,F.Gore,Frank Gore,IND,3.61,10,2.48,10,42,4.2,0,2017,REG,1,2017091009
11,E.Elliott,Ezekiel Elliott,DAL,4.14,20.83,2.92,24,104,4.3,0,2017,REG,1,2017091012
12,M.Tolbert,Mike Tolbert,BUF,4.27,8.33,2.72,12,42,3.5,1,2017,REG,1,2017091000
13,L.Fournette,Leonard Fournette,JAX,3.78,57.69,2.33,26,100,3.8,1,2017,REG,1,2017091005
14,I.Crowell,Isaiah Crowell,CLE,7.62,5.88,2.91,17,33,1.9,0,2017,REG,1,2017091003
15,J.Allen,Javorius Allen,BAL,4.05,38.1,2.59,21,71,3.4,0,2017,REG,1,2017091002
16,R.Kelley,Rob Kelley,WAS,6.45,30,2.89,10,30,3,0,2017,REG,1,2017091008
17,D.Johnson,David Johnson,ARI,8.4,9.09,3.28,11,23,2.1,0,2017,REG,1,2017091004
18,J.Stewart,Jonathan Stewart,CAR,5.19,55.56,2.93,18,65,3.6,0,2017,REG,1,2017091011
19,K.Hunt,Kareem Hunt,KC,2.82,35.29,2.92,17,148,8.7,1,2017,REG,1,2017090700
20,C.Anderson,C.J. Anderson,DEN,3.72,35,2.46,20,81,4.1,0,2017,REG,1,2017091101
21,M.Mack,Marlon Mack,IND,6.82,30,3.01,10,24,2.4,1,2017,REG,1,2017091009
22,L.McCoy,LeSean McCoy,BUF,3.69,4.55,2.8,22,110,5,0,2017,REG,1,2017091000
23,T.Gurley,Todd Gurley,LA,8.2,10.53,3.18,19,40,2.1,1,2017,REG,1,2017091009
24,L.Blount,LeGarrette Blount,PHI,4.3,28.57,2.31,14,46,3.3,0,2017,REG,1,2017091008
25,L.Bell,Le'Veon Bell,PIT,4.23,,3.07,10,32,3.2,0,2017,REG,1,2017091003
26,J.Howard,Jordan Howard,CHI,5.09,38.46,2.89,13,52,4,1,2017,REG,1,2017091001
27,A.Abdullah,Ameer Abdullah,DET,8.56,6.67,3.09,15,30,2,0,2017,REG,1,2017091004
28,D.Murray,DeMarco Murray,TEN,4.34,41.67,3.06,12,44,3.7,0,2017,REG,1,2017091007
29,M.Lynch,Marshawn Lynch,OAK,3.64,33.33,2.66,18,76,4.2,0,2017,REG,1,2017091007
30,D.Henry,Derrick Henry,TEN,2.82,71.43,2.3,14,92,6.6,1,2017,REG,2,2017091703
31,L.Fournette,Leonard Fournette,JAX,5.68,42.86,2.45,14,40,2.9,1,2017,REG,2,2017091703
32,T.Montgomery,Ty Montgomery,GB,4.07,40,3.15,10,35,3.5,1,2017,REG,2,2017091713
33,D.Foreman,D'Onta Foreman,HOU,4.68,25,3.1,12,40,3.3,0,2017,REG,2,2017091400
34,R.Kelley,Rob Kelley,WAS,2.54,58.33,2.52,12,78,6.5,0,2017,REG,2,2017091711
35,C.Hyde,Carlos Hyde,SF,2.78,33.33,2.34,15,124,8.3,0,2017,REG,2,2017091712
36,P.Barber,Peyton Barber,TB,3.53,30,2.8,10,47,4.7,0,2017,REG,2,2017091707
37,D.Freeman,Devonta Freeman,ATL,3.28,36.84,2.85,19,84,4.4,2,2017,REG,2,2017091713
38,J.Stewart,Jonathan Stewart,CAR,6.06,33.33,3.18,15,40,2.7,0,2017,REG,2,2017091701
