,shortName,playerName,team,efficiency,8+DefendersInTheBox,avgTimeBehindLineOfScrimmage,rushingAttempts,rushingYards,averageRushYards,rushingTouchdowns,season,seasonType,week,gameId
0,T.Yeldon,T.J. Yeldon,JAX,7.38,4.76,2.36,21,39,1.9,1,2016,REG,1,2016091103
1,C.Anderson,C.J. Anderson,DEN,3.69,20,2.6,20,92,4.6,1,2016,REG,1,2016090800
2,L.Miller,Lamar Miller,HOU,4.18,17.86,2.24,28,106,3.8,0,2016,REG,1,2016091102
3,A.Peterson,Adrian Peterson,MIN,8.3,42.11,2.34,19,31,1.6,0,2016,REG,1,2016091108
4,R.Mathews,Ryan Mathews,PHI,4.94,13.64,2.57,22,77,3.5,1,2016,REG,1,2016091107
5,A.Abdullah,Ameer Abdullah,DET,4.16,,2.92,12,63,5.3,0,2016,REG,1,2016091111
6,M.Gordon,Melvin Gordon,LAC,3.71,50,2.34,14,57,4.1,2,2016,REG,1,2016091104
7,T.West,Terrance West,BAL,5.88,33.33,3.03,12,32,2.7,0,2016,REG,1,2016091101
8,L.Murray,Latavius Murray,OAK,3.51,14.29,2.15,14,59,4.2,1,2016,REG,1,2016091105
9,C.Michael,Christine Michael,SEA,3.86,6.67,2.12,15,66,4.4,0,2016,REG,1,2016091109
10,M.Forte,Matt Forte,NYJ,3.6,4.55,2.64,22,96,4.4,0,2016,REG,1,2016091106
11,J.Langford,Jeremy Langford,CHI,4.97,29.41,2.56,17,57,3.4,1,2016,REG,1,2016091102
12,E.Elliott,Ezekiel Elliott,DAL,5.61,10,2.8,20,51,2.6,1,2016,REG,1,2016091110
13,A.Foster,Arian Foster,MIA,6.1,15.38,2.59,13,38,2.9,0,2016,REG,1,2016091109
14,J.Forsett,Justin Forsett,BAL,4.39,10,2.95,10,41,4.1,0,2016,REG,1,2016091101
15,S.Ware,Spencer Ware,KC,3.52,,3.05,11,70,6.4,1,2016,REG,1,2016091104
16,D.Martin,Doug Martin,TB,4.39,16.67,2.6,18,62,3.4,0,2016,REG,1,2016091100
17,L.Blount,LeGarrette Blount,NE,4.78,22.73,2.77,22,70,3.2,1,2016,REG,1,2016091112
18,E.Lacy,Eddie Lacy,GB,3.94,,2.45,14,61,4.4,0,2016,REG,1,2016091103
19,L.McCoy,LeSean McCoy,BUF,5.54,31.25,2.91,16,58,3.6,1,2016,REG,1,2016091101
20,I.Crowell,Isaiah Crowell,CLE,3.4,25,2.59,12,62,5.2,1,2016,REG,1,2016091107
21,T.Rawls,Thomas Rawls,SEA,5.48,16.67,2.42,12,32,2.7,0,2016,REG,1,2016091109
22,F.Gore,Frank Gore,IND,3.34,,2.03,14,59,4.2,0,2016,REG,1,2016091111
23,M.Ingram,Mark Ingram,NO,3.34,,2.03,12,58,4.8,0,2016,REG,1,2016091105
24,D.Johnson,David Johnson,ARI,3.11,43.75,2.62,16,89,5.6,1,2016,REG,1,2016091112
25,D.Murray,DeMarco Murray,TEN,5.16,30.77,2.69,13,42,3.2,0,2016,REG,1,2016091108
26,T.Gurley,Todd Gurley,LA,6.48,29.41,3.12,17,47,2.8,0,2016,REG,1,2016091201
27,C.Hyde,Carlos Hyde,SF,4.3,8.7,2.74,23,88,3.8,2,2016,REG,1,2016091201
28,J.Stewart,Jonathan Stewart,CAR,3.69,60,2.59,15,64,4.3,0,2016,REG,1,2016090800
29,R.Jennings,Rashad Jennings,NYG,3.69,11.11,2.57,18,75,4.2,0,2016,REG,1,2016091110
30,D.Woodhead,Danny Woodhead,LAC,2.62,,2.44,16,89,5.6,0,2016,REG,1,2016091104
31,D.Williams,DeAngelo Williams,PIT,3.31,34.62,2.84,26,143,5.5,2,2016,REG,1,2016091200
32,D.Freeman,Devonta Freeman,ATL,9.67,27.27,2.6,11,20,1.8,0,2016,REG,1,2016091100
33,E.Lacy,Eddie Lacy,GB,4.36,8.33,2.84,12,50,4.2,0,2016,REG,2,2016091813
34,T.Coleman,Tevin Coleman,ATL,4.07,50,2.93,12,46,3.8,1,2016,REG,2,2016091811
35,L.McCoy,LeSean McCoy,BUF,4.48,6.67,2.74,15,59,3.9,0,2016,REG,2,2016091500
36,D.Williams,DeAngelo Williams,PIT,6.06,21.88,3.19,32,94,2.9,0,2016,REG,2,2016091806
37,D.Murray,DeMarco Murray,TEN,2.75,41.67,2.47,12,89,7.4,0,2016,REG,2,2016091802
38,A.Peterson,Adrian Peterson,MIN,8.34,41.67,2.64,12,19,1.6,0,2016,REG,2,2016091813
39,T.Riddick,Theo Riddick,DET,4.19,18.18,2.71,11,37,3.4,0,2016,REG,2,2016091802
40,M.Gordon,Melvin Gordon,LAC,3.94,12.5,2.41,24,102,4.3,1,2016,REG,2,2016091812
41,J.Forsett,Justin Forsett,BAL,6.35,14.29,3.07,14,37,2.6,0,2016,REG,2,2016091801
42,L.Miller,Lamar Miller,HOU,4.18,16.67,2.55,24,77,3.2,0,2016,REG,2,2016091803
43,T.West,Terrance West,BAL,4.69,9.09,2.87,11,42,3.8,0,2016,REG,2,2016091801
44,C.Hyde,Carlos Hyde,SF,7.54,,3.26,14,34,2.4,0,2016,REG,2,2016091800
45,S.Vereen,Shane Vereen,NYG,3.67,,2.71,14,42,3,0,2016,REG,2,2016091805
46,M.Jones,Matt Jones,WAS,3.87,,2.74,13,61,4.7,1,2016,REG,2,2016091807
47,M.Forte,Matt Forte,NYJ,4.58,3.33,2.81,30,100,3.3,3,2016,REG,2,2016091500
48,I.Crowell,Isaiah Crowell,CLE,2.76,38.89,3.04,18,133,7.4,1,2016,REG,2,2016091801
49,C.Johnson,Chris Johnson,ARI,4.59,50,2.43,16,54,3.4,1,2016,REG,2,2016091808
50,D.Freeman,Devonta Freeman,ATL,3.29,76.47,2.97,17,93,5.5,0,2016,REG,2,2016091811
51,F.Gore,Frank Gore,IND,3.81,69.23,2.24,13,44,3.4,0,2016,REG,2,2016091810
52,C.Michael,Christine Michael,SEA,3.31,20,2.34,10,60,6,0,2016,REG,2,2016091809
53,T.Gurley,Todd Gurley,LA,5.52,63.16,2.48,19,51,2.7,0,2016,REG,2,2016091809
54,J.Langford,Jeremy Langford,CHI,5.72,18.18,2.41,11,28,2.5,1,2016,REG,2,2016091900
55,E.Elliott,Ezekiel Elliott,DAL,4.21,23.81,2.53,21,83,4,1,2016,REG,2,2016091807
56,S.Ware,Spencer Ware,KC,4.16,20,2.58,10,57,5.7,0,2016,REG,2,2016091803
57,R.Jennings,Rashad Jennings,NYG,5.82,16.67,2.53,12,26,2.2,0,2016,REG,2,2016091805
58,F.Whittaker,Fozzy Whittaker,CAR,3.22,25,3.09,16,100,6.3,0,2016,REG,2,2016091800
59,D.Johnson,David Johnson,ARI,5.03,8.33,3.16,12,45,3.8,0,2016,REG,2,2016091808
60,J.Hill,Jeremy Hill,CIN,6.51,18.18,2.65,11,22,2,0,2016,REG,2,2016091806
61,L.Blount,LeGarrette Blount,NE,3.72,44.83,2.77,29,123,4.2,1,2016,REG,2,2016091804
62,C.Anderson,C.J. Anderson,DEN,4.41,35,2.39,20,74,3.7,1,2016,REG,2,2016091810
63,D.Sproles,Darren Sproles,PHI,5.42,,2.99,12,40,3.3,0,2016,REG,2,2016091900
64,L.Murray,Latavius Murray,OAK,4.32,40,2.85,10,37,3.7,1,2016,REG,3,2016092507
65,W.Smallwood,Wendell Smallwood,PHI,4.07,41.18,3.05,17,79,4.6,1,2016,REG,3,2016092510
66,T.Coleman,Tevin Coleman,ATL,5.51,8.33,2.63,12,42,3.5,3,2016,REG,3,2016092600
67,D.Washington,Dwayne Washington,DET,5.36,30,3.13,10,38,3.8,0,2016,REG,3,2016092503
68,D.Johnson,David Johnson,ARI,4.17,26.32,2.6,19,83,4.4,2,2016,REG,3,2016092500
69,E.Lacy,Eddie Lacy,GB,3.54,11.76,2.57,17,103,6.1,0,2016,REG,3,2016092503
70,T.Gurley,Todd Gurley,LA,4.64,18.52,2.42,27,85,3.1,2,2016,REG,3,2016092509
71,C.Sims,Charles Sims,TB,4.16,46.15,2.6,13,55,4.2,1,2016,REG,3,2016092509
72,C.Anderson,C.J. Anderson,DEN,5.35,14.29,2.97,14,37,2.6,0,2016,REG,3,2016092502
73,C.Michael,Christine Michael,SEA,3.65,5,2.44,20,106,5.3,2,2016,REG,3,2016092508
74,F.Gore,Frank Gore,IND,3.66,19.05,2.45,21,82,3.9,1,2016,REG,3,2016092511
75,C.Ivory,Chris Ivory,JAX,12.87,8.33,3.33,12,14,1.2,0,2016,REG,3,2016092504
76,O.Darkwa,Orleans Darkwa,NYG,2.86,,2.63,10,53,5.3,1,2016,REG,3,2016092506
77,T.Riddick,Theo Riddick,DET,14.51,10,2.75,10,9,0.9,0,2016,REG,3,2016092503
78,L.McCoy,LeSean McCoy,BUF,3.43,35.29,2.65,17,110,6.5,2,2016,REG,3,2016092500
79,M.Ingram,Mark Ingram,NO,3.1,6.67,2.2,15,77,5.1,0,2016,REG,3,2016092600
80,M.Jones,Matt Jones,WAS,4.24,17.65,2.97,17,65,3.8,0,2016,REG,3,2016092506
81,I.Crowell,Isaiah Crowell,CLE,3.07,46.67,2.64,15,79,5.3,0,2016,REG,3,2016092505
82,D.Freeman,Devonta Freeman,ATL,2.75,7.14,2.65,14,152,10.9,0,2016,REG,3,2016092600
83,J.Hill,Jeremy Hill,CIN,3.03,35.29,2.58,17,97,5.7,2,2016,REG,3,2016092502
84,M.Forte,Matt Forte,NYJ,3.97,,2.29,15,65,4.3,0,2016,REG,3,2016092512
85,E.Elliott,Ezekiel Elliott,DAL,4.16,50,2.76,30,140,4.7,0,2016,REG,3,2016092513
86,T.West,Terrance West,BAL,3.41,,2.64,10,45,4.5,0,2016,REG,3,2016092504
87,L.Blount,LeGarrette Blount,NE,3.18,41.67,2.37,24,105,4.4,2,2016,REG,3,2016092200
88,J.McKinnon,Jerick McKinnon,MIN,5.82,43.75,2.73,16,45,2.8,0,2016,REG,3,2016092501
89,M.Gordon,Melvin Gordon,LAC,5.94,12.5,2.45,16,35,2.2,1,2016,REG,3,2016092511
90,L.Miller,Lamar Miller,HOU,3.87,4.76,2.34,21,80,3.8,0,2016,REG,3,2016092200
91,C.Hyde,Carlos Hyde,SF,3.55,42.86,2.38,21,103,4.9,2,2016,REG,3,2016092508
92,D.Murray,DeMarco Murray,TEN,3.06,25,2.84,16,114,7.1,1,2016,REG,3,2016092507
93,D.Johnson,Duke Johnson,CLE,2.75,30,2.37,10,69,6.9,0,2016,REG,3,2016092505
94,C.Artis-Payne,Cameron Artis-Payne,CAR,4.05,8.33,2.91,12,47,3.9,0,2016,REG,3,2016092501
95,S.Ware,Spencer Ware,KC,4.97,20,2.55,20,75,3.8,0,2016,REG,3,2016092512
96,S.Vereen,Shane Vereen,NYG,2.39,,2.63,11,67,6.1,1,2016,REG,3,2016092506
97,D.Henry,Derrick Henry,TEN,3.88,40,2.51,10,45,4.5,0,2016,REG,3,2016092507
98,C.Sims,Charles Sims,TB,8.63,60,2.87,15,28,1.9,0,2016,REG,4,2016100208
99,D.Johnson,David Johnson,ARI,3.72,29.41,2.7,17,83,4.9,0,2016,REG,4,2016100209
100,E.Elliott,Ezekiel Elliott,DAL,2.81,26.09,2.31,23,138,6,1,2016,REG,4,2016100211
101,J.McKinnon,Jerick McKinnon,MIN,3.97,27.78,2.59,18,85,4.7,1,2016,REG,4,2016100300
102,L.Miller,Lamar Miller,HOU,4.04,26.32,2.87,19,82,4.3,0,2016,REG,4,2016100204
103,L.McCoy,LeSean McCoy,BUF,5.79,47.37,3.33,19,70,3.7,0,2016,REG,4,2016100205
104,M.Forte,Matt Forte,NYJ,6.8,28.57,2.56,14,27,1.9,0,2016,REG,4,2016100206
105,F.Gore,Frank Gore,IND,3.64,37.5,2.11,16,68,4.3,1,2016,REG,4,2016100200
106,C.Anderson,C.J. Anderson,DEN,5.59,21.05,2.46,19,49,2.6,1,2016,REG,4,2016100208
107,T.Yeldon,T.J. Yeldon,JAX,3.62,35.71,2.05,14,71,5.1,0,2016,REG,4,2016100200
108,G.Bernard,Giovani Bernard,CIN,7.76,10,2.88,10,18,1.8,0,2016,REG,4,2016092900
109,C.Michael,Christine Michael,SEA,5.72,27.78,2.64,18,58,3.2,0,2016,REG,4,2016100206
110,S.Ware,Spencer Ware,KC,3.11,,2.87,13,82,6.3,0,2016,REG,4,2016100212
111,T.Riddick,Theo Riddick,DET,5.49,,2.89,11,31,2.8,0,2016,REG,4,2016100203
112,J.Hill,Jeremy Hill,CIN,6.05,38.1,2.99,21,71,3.4,0,2016,REG,4,2016092900
113,J.Howard,Jordan Howard,CHI,3.96,4.35,2.7,23,111,4.8,0,2016,REG,4,2016100203
114,M.Ingram,Mark Ingram,NO,5.19,5.56,2.47,18,56,3.1,1,2016,REG,4,2016100210
115,I.Crowell,Isaiah Crowell,CLE,2.62,62.5,2.75,16,120,7.5,1,2016,REG,4,2016100207
116,D.Murray,DeMarco Murray,TEN,4.59,40,3,25,95,3.8,2,2016,REG,4,2016100204
117,L.Blount,LeGarrette Blount,NE,4.06,30.77,2.71,13,54,4.2,0,2016,REG,4,2016100205
118,D.Freeman,Devonta Freeman,ATL,4.08,23.08,2.59,13,57,4.4,1,2016,REG,4,2016100201
119,L.Bell,Le'Veon Bell,PIT,2.51,27.78,2.79,18,144,8,0,2016,REG,4,2016100212
120,T.Gurley,Todd Gurley,LA,7.08,52.63,2.57,19,33,1.7,0,2016,REG,4,2016100209
121,T.West,Terrance West,BAL,3.34,14.29,2.8,21,113,5.4,1,2016,REG,4,2016100202
122,M.Gordon,Melvin Gordon,LAC,7.31,36.84,2.48,19,36,1.9,2,2016,REG,4,2016100210
123,M.Jones,Matt Jones,WAS,3.82,40.91,3.15,22,117,5.3,1,2016,REG,4,2016100207
124,O.Darkwa,Orleans Darkwa,NYG,3.91,,2.79,12,48,4,1,2016,REG,4,2016100300
125,C.Hyde,Carlos Hyde,SF,3.93,13.33,2.65,15,74,4.9,1,2016,REG,4,2016100211
126,C.Artis-Payne,Cameron Artis-Payne,CAR,3.74,22.22,2.77,18,85,4.7,2,2016,REG,5,2016101000
127,J.Howard,Jordan Howard,CHI,3.02,25,2.91,16,118,7.4,0,2016,REG,5,2016100903
128,J.Starks,James Starks,GB,7.3,25,3.19,12,33,2.8,0,2016,REG,5,2016100911
129,R.Mathews,Ryan Mathews,PHI,4.4,27.27,2.45,11,42,3.8,0,2016,REG,5,2016100902
130,M.Forte,Matt Forte,NYJ,3.69,8.33,2.48,12,53,4.4,0,2016,REG,5,2016100906
131,E.Elliott,Ezekiel Elliott,DAL,2.68,20,2.87,15,134,8.9,2,2016,REG,5,2016100908
132,D.Freeman,Devonta Freeman,ATL,4.6,65.22,2.65,23,88,3.8,1,2016,REG,5,2016100907
133,J.McKinnon,Jerick McKinnon,MIN,8.36,35,2.66,20,36,1.8,0,2016,REG,5,2016100905
134,L.McCoy,LeSean McCoy,BUF,2.79,33.33,2.86,18,150,8.3,0,2016,REG,5,2016100909
135,J.Rodgers,Jacquizz Rodgers,TB,4.72,3.33,2.81,30,101,3.4,0,2016,REG,5,2016101000
136,T.Gurley,Todd Gurley,LA,4.89,17.39,2.51,23,72,3.1,1,2016,REG,5,2016100909
137,L.Bell,Le'Veon Bell,PIT,5.23,15,3.16,20,66,3.3,0,2016,REG,5,2016100906
138,T.Riddick,Theo Riddick,DET,4.15,27.27,2.51,11,49,4.5,0,2016,REG,5,2016100902
139,C.Hyde,Carlos Hyde,SF,4.17,,2.54,22,78,3.5,1,2016,REG,5,2016100600
140,C.Anderson,C.J. Anderson,DEN,4.26,18.18,2.58,11,41,3.7,0,2016,REG,5,2016100907
141,I.Crowell,Isaiah Crowell,CLE,8.65,7.69,2.38,13,22,1.7,0,2016,REG,5,2016100901
142,M.Gordon,Melvin Gordon,LAC,4.11,37.5,2.96,16,69,4.3,0,2016,REG,5,2016100910
143,L.Blount,LeGarrette Blount,NE,6.8,72.22,2.62,18,37,2.1,1,2016,REG,5,2016100901
144,M.Asiata,Matt Asiata,MIN,3.18,35.71,1.93,14,55,3.9,1,2016,REG,5,2016100905
145,D.Murray,DeMarco Murray,TEN,4.08,55.56,3.08,27,121,4.5,0,2016,REG,5,2016100904
146,E.Lacy,Eddie Lacy,GB,3.19,18.18,3.32,11,81,7.4,0,2016,REG,5,2016100911
147,T.West,Terrance West,BAL,2.6,45.45,2.61,11,95,8.6,0,2016,REG,5,2016100900
148,M.Jones,Matt Jones,WAS,6.32,42.86,2.53,14,31,2.2,0,2016,REG,5,2016100900
149,D.Johnson,David Johnson,ARI,3.18,22.22,2.67,27,157,5.8,2,2016,REG,5,2016100600
150,F.Gore,Frank Gore,IND,3,7.14,2.42,14,75,5.4,0,2016,REG,5,2016100903
151,J.Ajayi,Jay Ajayi,MIA,5.41,15.38,3.11,13,42,3.2,1,2016,REG,5,2016100904
152,C.Anderson,C.J. Anderson,DEN,4.52,10,2.58,10,37,3.7,0,2016,REG,6,2016101300
153,L.Blount,LeGarrette Blount,NE,4.48,38.46,2.76,13,50,3.8,1,2016,REG,6,2016101604
154,S.Ware,Spencer Ware,KC,2.72,8.33,2.73,24,131,5.5,1,2016,REG,6,2016101609
155,M.Gordon,Melvin Gordon,LAC,4.6,81.48,2.45,27,94,3.5,0,2016,REG,6,2016101300
156,J.Stewart,Jonathan Stewart,CAR,3.69,52.63,2.73,19,85,4.5,2,2016,REG,6,2016101605
157,J.Hill,Jeremy Hill,CIN,4.45,,2.55,13,38,2.9,0,2016,REG,6,2016101604
158,E.Lacy,Eddie Lacy,GB,5.12,17.65,2.69,17,65,3.8,0,2016,REG,6,2016101610
159,L.Miller,Lamar Miller,HOU,3.38,16.67,2.63,24,149,6.2,1,2016,REG,6,2016101612
160,M.Ingram,Mark Ingram,NO,5.14,31.25,2.82,16,51,3.2,0,2016,REG,6,2016101605
