,shortName,playerName,team,efficiency,8+_defendersInTheBox,avgTimeBehindLineOfScrimmage,rushingAttempts,rushingYards,averageRushYards,rushingTouchdowns,season,seasonType,week
0,C.Michael,Christine Michael,GB,4.35,--,2.44,10,47,4.7,0,2016,POST,18
1,J.Ajayi,Jay Ajayi,MIA,7.98,12.5,2.86,16,33,2.1,0,2016,POST,18
2,L.Miller,Lamar Miller,HOU,6.25,19.35,2.74,31,73,2.4,1,2016,POST,18
3,L.Murray,Latavius Murray,OAK,4.89,33.33,2.53,12,39,3.3,1,2016,POST,18
4,L.Bell,Le'Veon Bell,PIT,3.12,41.38,3.07,29,167,5.8,2,2016,POST,18
5,P.Perkins,Paul Perkins,NYG,5.63,20,3.05,10,30,3,0,2016,POST,18
6,T.Rawls,Thomas Rawls,SEA,3.02,18.52,2.42,27,161,6,1,2016,POST,18
7,T.Montgomery,Ty Montgomery,GB,6.84,9.09,3.1,11,27,2.5,0,2016,POST,18
8,Z.Zenner,Zach Zenner,DET,5.59,--,2.87,11,34,3.1,0,2016,POST,18
9,D.Freeman,Devonta Freeman,ATL,5.77,64.29,2.69,14,45,3.2,1,2016,POST,19
10,D.Lewis,Dion Lewis,NE,5.61,30.77,3.04,13,41,3.2,1,2016,POST,19
11,E.Elliott,Ezekiel Elliott,DAL,3.46,27.27,3.1,22,125,5.7,0,2016,POST,19
12,L.Miller,Lamar Miller,HOU,4.08,21.05,2.7,19,74,3.9,0,2016,POST,19
13,L.Bell,Le'Veon Bell,PIT,3.06,10,2.99,30,170,5.7,0,2016,POST,19
14,T.Coleman,Tevin Coleman,ATL,4.96,27.27,3.1,11,57,5.2,0,2016,POST,19
15,T.Rawls,Thomas Rawls,SEA,4.83,--,2.32,11,34,3.1,0,2016,POST,19
16,T.Montgomery,Ty Montgomery,GB,3.9,18.18,2.85,11,47,4.3,2,2016,POST,19
17,D.Williams,DeAngelo Williams,PIT,5.41,14.29,2.65,14,34,2.4,1,2016,POST,20
18,D.Freeman,Devonta Freeman,ATL,4.91,42.86,2.64,14,42,3,0,2016,POST,20
19,L.Blount,LeGarrette Blount,NE,4.65,43.75,2.64,16,47,2.9,1,2016,POST,20
20,T.Coleman,Tevin Coleman,ATL,5.81,54.55,3.09,11,29,2.6,1,2016,POST,20
21,D.Freeman,Devonta Freeman,ATL,3.83,9.09,3.19,11,75,6.8,1,2016,POST,22
22,L.Blount,LeGarrette Blount,NE,5.59,--,2.85,11,31,2.8,0,2016,POST,22
