,shortName,playerName,team,efficiency,8+DefendersInTheBox,avgTimeBehindLineOfScrimmage,rushingAttempts,rushingYards,averageRushYards,rushingTouchdowns,season
0,L.Murray,Latavius Murray,OAK,3.91,45.64,2.6,195,788,4,12,2016
1,J.Hill,Jeremy Hill,CIN,4.38,19.82,2.65,222,839,3.8,9,2016
2,P.Perkins,Paul Perkins,NYG,3.68,5.36,2.58,112,456,4.1,0,2016
3,J.McKinnon,Jerick McKinnon,MIN,4.87,25.79,2.66,159,539,3.4,2,2016
4,I.Crowell,Isaiah Crowell,CLE,3.51,26.77,2.76,198,952,4.8,7,2016
5,D.Booker,Devontae Booker,DEN,4.51,24.14,2.51,174,612,3.5,4,2016
6,M.Jones,Matt Jones,WAS,3.89,29.29,2.84,99,460,4.6,3,2016
7,C.Hyde,Carlos Hyde,SF,3.84,12.9,2.73,217,988,4.6,6,2016
8,L.Miller,Lamar Miller,HOU,4.03,26.59,2.53,267,1067,4,5,2016
9,M.Gillislee,Mike Gillislee,BUF,3.45,45.54,2.78,101,577,5.7,8,2016
10,J.Ajayi,Jay Ajayi,MIA,3.94,22.69,2.74,260,1272,4.9,8,2016
11,D.Washington,DeAndre Washington,OAK,3.14,20.69,2.61,87,467,5.4,2,2016
12,L.Bell,Le'Veon Bell,PIT,3.95,24.52,3.1,261,1268,4.9,7,2016
13,M.Gordon,Melvin Gordon,LAC,4.08,36.22,2.55,254,997,3.9,10,2016
14,T.West,Terrance West,BAL,4.14,21.24,2.8,193,774,4,5,2016
15,K.Dixon,Kenneth Dixon,BAL,4.08,20.45,2.8,88,382,4.3,2,2016
16,J.Stewart,Jonathan Stewart,CAR,4.38,38.07,2.87,218,824,3.8,9,2016
17,T.Rawls,Thomas Rawls,SEA,4.92,18.35,2.52,109,349,3.2,3,2016
18,B.Powell,Bilal Powell,NYJ,3.26,9.16,2.78,131,722,5.5,3,2016
19,G.Bernard,Giovani Bernard,CIN,4.86,6.59,2.79,91,337,3.7,2,2016
20,J.Forsett,Justin Forsett,DEN,5.29,8.05,2.87,87,291,3.3,1,2016
21,C.Michael,Christine Michael,GB,4.58,20.95,2.62,148,583,3.9,7,2016
22,L.Blount,LeGarrette Blount,NE,4.07,43.48,2.7,299,1161,3.9,18,2016
23,T.Hightower,Tim Hightower,NO,3.74,27.82,2.58,133,548,4.1,4,2016
24,M.Ingram,Mark Ingram,NO,3.46,18.54,2.6,205,1043,5.1,6,2016
25,D.Williams,DeAngelo Williams,PIT,4.96,24.49,3.04,98,343,3.5,4,2016
26,D.Sproles,Darren Sproles,PHI,3.98,10.64,2.89,94,438,4.7,2,2016
27,C.Ivory,Chris Ivory,JAX,4.81,21.19,2.86,118,435,3.7,3,2016
28,D.Johnson,David Johnson,ARI,3.87,25.6,2.69,293,1239,4.2,16,2016
29,L.McCoy,LeSean McCoy,BUF,3.96,26.92,2.98,234,1267,5.4,13,2016
30,C.West,Charcandrick West,KC,4.91,27.27,2.88,88,293,3.3,1,2016
31,D.Henry,Derrick Henry,TEN,4.12,52.73,2.8,110,490,4.5,5,2016
32,J.Rodgers,Jacquizz Rodgers,TB,3.67,24.81,2.68,129,560,4.3,2,2016
33,D.Martin,Doug Martin,TB,5.17,33.33,2.81,144,421,2.9,3,2016
34,R.Jennings,Rashad Jennings,NYG,4.27,6.67,2.54,180,592,3.3,3,2016
35,R.Kelley,Rob Kelley,WAS,4.08,22.62,2.76,168,704,4.2,6,2016
36,F.Gore,Frank Gore,IND,3.7,20.91,2.39,263,1022,3.9,4,2016
37,E.Elliott,Ezekiel Elliott,DAL,3.65,28.88,2.8,322,1631,5.1,15,2016
38,T.Gurley,Todd Gurley,LA,4.78,25.9,2.53,278,885,3.2,6,2016
39,T.Yeldon,T.J. Yeldon,JAX,4.52,18.46,2.61,130,464,3.6,1,2016
40,D.Freeman,Devonta Freeman,ATL,4.05,33.04,2.7,227,1079,4.8,11,2016
41,T.Riddick,Theo Riddick,DET,4.53,13.04,2.83,92,357,3.9,1,2016
42,M.Asiata,Matt Asiata,MIN,4,38.84,2.29,121,402,3.3,6,2016
43,M.Forte,Matt Forte,NYJ,4.21,14.22,2.68,218,813,3.7,7,2016
44,D.Washington,Dwayne Washington,DET,5.35,17.78,2.92,90,266,3,1,2016
45,A.Blue,Alfred Blue,HOU,3.77,20,2.43,100,420,4.2,1,2016
46,T.Coleman,Tevin Coleman,ATL,4.34,27.97,2.78,118,520,4.4,8,2016
47,S.Ware,Spencer Ware,KC,3.97,21.03,2.82,214,921,4.3,3,2016
48,J.Howard,Jordan Howard,CHI,3.61,27.78,2.76,252,1314,5.2,6,2016
49,Z.Zenner,Zach Zenner,DET,3.98,19.32,2.65,88,334,3.8,4,2016
50,D.Murray,DeMarco Murray,TEN,4.19,46.76,2.91,293,1283,4.4,9,2016
51,R.Mathews,Ryan Mathews,PHI,4.39,21.94,2.71,155,661,4.3,8,2016
52,C.Anderson,C.J. Anderson,DEN,4.11,23.64,2.51,110,437,4,4,2016
