,shortName,playerName,team,position,averageCushion,averageSeparation,averageTargetedAirYards,shareOfTeamAirYards,receptions,targets,catchPercentage,receivingYards,receivingTouchdowns,avgYAC,expectedAvgYAC,avgYACAboveExpectation,season,seasonType,week,gameId
0,K.White,Kevin White,CHI,WR,10,2.9,13,28.68,3,7,42.86,34,0,2.4,4.7,-2.3,2016,REG,1,2016091102
1,S.Smith,Steve Smith,BAL,WR,9.8,3.3,6.4,19.21,5,8,62.5,19,0,2,2.6,-0.6,2016,REG,1,2016091101
2,A.Jeffery,Alshon Jeffery,CHI,WR,9.2,1.2,23,43.63,4,6,66.67,105,0,2.8,3.3,-0.5,2016,REG,1,2016091102
3,J.Crowder,Jamison Crowder,WAS,WR,8.9,2.9,8,23.13,6,10,60,58,0,3.5,4.1,-0.6,2016,REG,1,2016091200
4,P.Garcon,Pierre Garcon,WAS,WR,8.5,4.6,5.8,10.13,6,6,100,51,0,2.7,3.1,-0.5,2016,REG,1,2016091200
5,D.Jackson,DeSean Jackson,WAS,WR,8.3,2.5,11.6,33.47,6,10,60,102,0,5.7,6.5,-0.9,2016,REG,1,2016091200
6,V.Green,Virgil Green,DEN,TE,8.3,3.5,5.6,23.76,4,5,80,28,0,2.1,5.4,-3.4,2016,REG,1,2016090800
7,J.Landry,Jarvis Landry,MIA,WR,8.2,3.5,3.2,12.59,7,10,70,59,0,5.7,4.2,1.4,2016,REG,1,2016091109
8,J.Edelman,Julian Edelman,NE,WR,8.1,3.7,6,20.11,7,7,100,66,0,3.4,3.7,-0.3,2016,REG,1,2016091112
9,V.Jackson,Vincent Jackson,TB,WR,8.1,1.7,12.9,27.06,2,7,28.57,18,0,0.3,1.3,-1,2016,REG,1,2016091100
10,M.Wallace,Mike Wallace,BAL,WR,8,2.7,17.2,38.58,3,6,50,91,1,12.3,11.5,0.8,2016,REG,1,2016091101
11,M.Crabtree,Michael Crabtree,OAK,WR,7.7,2.6,10.8,31.06,7,9,77.78,87,0,1.7,2.7,-1,2016,REG,1,2016091105
12,B.Quick,Brian Quick,LA,WR,7.7,2.2,8.3,19.56,3,5,60,23,0,1.4,1.7,-0.3,2016,REG,1,2016091201
