,shortName,playerName,team,position,averageCushion,averageSeparation,averageTargetedAirYards,shareOfTeamAirYards,receptions,targets,catchPercentage,receivingYards,receivingTouchdowns,avgYAC,expectedAvgYAC,avgYACAboveExpectation,season,seasonType,week
0,A.Robinson,Allen Robinson,CHI,WR,6,1.5,11.7,41.96,7,13,53.85,102,0,4,3.9,0.1,2019,REG,1
1,A.Jeffery,Alshon Jeffery,PHI,WR,2.7,1.9,10.1,21.09,5,7,71.43,49,1,2.3,1.4,0.9,2019,REG,1
2,A.Cooper,Amari Cooper,DAL,WR,6.6,3,12.1,38.95,6,9,66.67,106,1,3.1,3.2,-0.2,2019,REG,1
3,A.Hooper,Austin Hooper,ATL,TE,6.5,4.6,5,12.65,9,9,100,77,0,3.5,4.4,-0.8,2019,REG,1
4,B.Fowler,Bennie Fowler,NYG,WR,5.8,4.7,5.4,10.94,5,5,100,40,0,2.7,4,-1.3,2019,REG,1
5,B.Cooks,Brandin Cooks,LAR,WR,3.4,2.5,14.5,33.6,2,6,33.33,39,0,7.6,6.2,1.4,2019,REG,1
6,B.Perriman,Breshad Perriman,TB,WR,5.6,2.2,12.9,21.82,2,5,40,10,0,-0.4,2.2,-2.6,2019,REG,1
7,C.Uzomah,C.J. Uzomah,CIN,TE,4,4.5,2.1,3.04,4,5,80,66,0,13.1,7.8,5.3,2019,REG,1
8,C.Ridley,Calvin Ridley,ATL,WR,6.5,2.6,13.3,22.18,4,6,66.67,64,1,3.4,3.3,0.2,2019,REG,1
9,C.Conley,Chris Conley,JAX,WR,2.7,1.7,12.8,42.42,6,7,85.71,97,1,5,2.5,2.5,2019,REG,1
10,C.Godwin,Chris Godwin,TB,WR,8.1,1.2,10.6,21.47,3,6,50,53,1,7.1,1.5,5.6,2019,REG,1
11,C.Kirk,Christian Kirk,ARI,WR,3.5,2.1,12,26.4,4,12,33.33,32,0,2.4,4.5,-2,2019,REG,1
12,C.Latimer,Cody Latimer,NYG,WR,2.8,1.9,16,45.69,3,7,42.86,74,0,6.9,5.5,1.4,2019,REG,1
13,C.Beasley,Cole Beasley,BUF,WR,7,4,6.1,19.53,5,9,55.56,40,0,4.4,5.7,-1.3,2019,REG,1
14,C.Kupp,Cooper Kupp,LAR,WR,8.2,4,4.5,17.33,7,10,70,46,0,3.4,4,-0.6,2019,REG,1
15,C.Sutton,Courtland Sutton,DEN,WR,6.3,3,10.9,38.24,7,8,87.5,120,0,7,7.4,-0.4,2019,REG,1
16,D.Moore,D.J. Moore,CAR,WR,9.3,3.2,10.8,46.01,7,10,70,76,0,1.8,2.7,-1,2019,REG,1
17,D.Metcalf,D.K. Metcalf,SEA,WR,2.3,1.3,16.3,58.91,4,6,66.67,89,0,6.6,6.2,0.4,2019,REG,1
18,D.Byrd,Damiere Byrd,ARI,WR,6.3,1.8,10.6,13.51,4,7,57.14,42,0,2,2,0,2019,REG,1
19,D.Willis,Damion Willis,CIN,WR,6.8,2.5,10.1,14.83,3,5,60,30,0,1.6,3,-1.4,2019,REG,1
20,D.Amendola,Danny Amendola,DET,WR,6.3,4.6,9.5,25.21,7,13,53.85,104,1,6.1,5.7,0.5,2019,REG,1
21,D.Waller,Darren Waller,OAK,TE,4.2,2.6,6.3,25.32,7,8,87.5,70,0,5,5.6,-0.5,2019,REG,1
22,D.Adams,Davante Adams,GB,WR,7.3,2.8,7.5,24.28,4,8,50,36,0,4.9,3.9,1,2019,REG,1
23,D.Njoku,David Njoku,CLE,TE,3.3,2.9,7.2,12.99,4,6,66.67,37,1,3.7,3,0.7,2019,REG,1
24,D.Hopkins,DeAndre Hopkins,HOU,WR,6.2,2.3,12.8,55.72,8,13,61.54,111,2,3.8,4.4,-0.5,2019,REG,1
25,D.Jackson,DeSean Jackson,PHI,WR,7.6,3.8,15.4,41.32,8,9,88.89,154,2,2.3,3.5,-1.2,2019,REG,1
26,D.Parker,DeVante Parker,MIA,WR,5.3,0.8,23.4,34.85,3,7,42.86,75,0,0.3,2,-1.8,2019,REG,1
27,D.Westbrook,Dede Westbrook,JAX,WR,6.3,3.7,1.1,3.19,5,6,83.33,30,1,3.5,4.7,-1.2,2019,REG,1
28,D.Walker,Delanie Walker,TEN,TE,6.5,2.9,4.7,18.75,5,6,83.33,55,2,4.7,5.2,-0.5,2019,REG,1
29,D.Funchess,Devin Funchess,IND,WR,2.7,1.5,10.9,33.33,3,5,60,32,0,1.8,1.1,0.7,2019,REG,1
30,D.Johnson,Diontae Johnson,PIT,WR,4.9,3.3,7.3,8.02,3,5,60,25,0,7.9,5.7,2.2,2019,REG,1
31,D.Moncrief,Donte Moncrief,PIT,WR,4.1,1.6,10,22.1,3,10,30,7,0,1.2,3.6,-2.3,2019,REG,1
32,E.Sanders,Emmanuel Sanders,DEN,WR,6.5,2,12.9,39.63,5,7,71.43,86,1,6.6,5.8,0.8,2019,REG,1
33,E.Engram,Evan Engram,NYG,TE,6.9,3.4,5.1,29,11,14,78.57,116,1,5.7,7.5,-1.8,2019,REG,1
34,G.Kittle,George Kittle,SF,TE,5.8,3.5,3.9,27.72,8,10,80,54,0,6.3,6.7,-0.4,2019,REG,1
35,G.Olsen,Greg Olsen,CAR,TE,5.6,3.8,6.8,26.01,4,9,44.44,36,0,5.1,6.6,-1.6,2019,REG,1
36,H.Henry,Hunter Henry,LAC,TE,4.2,2.5,13.2,28.05,4,5,80,60,0,2.6,3,-0.3,2019,REG,1
37,J.O'Shaughnessy,James O'Shaughnessy,JAX,TE,3.3,3.9,4,9.48,4,5,80,32,0,4.3,4.5,-0.2,2019,REG,1
38,J.Washington,James Washington,PIT,WR,4.6,2.2,26.8,35.55,2,6,33.33,51,0,6.2,8.1,-1.9,2019,REG,1
39,J.Crowder,Jamison Crowder,NYJ,WR,7,4,3,22.44,14,17,82.35,99,0,5,5.3,-0.3,2019,REG,1
40,J.Landry,Jarvis Landry,CLE,WR,5,2.9,12,25.23,4,7,57.14,67,0,6.2,4.6,1.6,2019,REG,1
