,shortName,playerName,team,position,averageCushion,averageSeparation,averageTargetedAirYards,shareOfTeamAirYards,receptions,targets,catchPercentage,receivingYards,receivingTouchdowns,avgYAC,expectedAvgYAC,avgYACAboveExpectation,season
0,C.Kupp,Cooper Kupp,LAR,WR,7.4,3.1,9.3,21.25,62,94,65.96,869,5,6,5.4,0.6,2017
1,T.Smith,Torrey Smith,PHI,WR,7.4,2.3,12.7,16.33,36,68,52.94,430,2,3.8,4,-0.2,2017
2,T.Gabriel,Taylor Gabriel,ATL,WR,7.3,3,10,10.96,33,51,64.71,378,1,6.9,5.8,1.1,2017
3,T.Benjamin,Travis Benjamin,LAC,WR,7.3,3.5,15.3,20.87,34,65,52.31,567,4,6.2,5.6,0.6,2017
4,T.Hill,Tyreek Hill,KC,WR,7.2,3.5,11.5,29.56,75,105,71.43,1183,7,6.4,6.3,0.1,2017
5,D.Jackson,DeSean Jackson,TB,WR,7.2,2.7,15.8,23.48,50,90,55.56,668,3,4,4.5,-0.5,2017
6,R.Grant,Ryan Grant,WAS,WR,7,2.9,9.8,15.05,45,65,69.23,573,4,5.3,4.9,0.5,2017
7,R.Matthews,Rishard Matthews,TEN,WR,7,2.6,11.7,23.68,53,87,60.92,795,4,5.2,3.9,1.3,2017
8,T.Lockett,Tyler Lockett,SEA,WR,7,2.9,12.7,16.62,45,71,63.38,555,2,4.3,5.1,-0.7,2017
9,K.Wright,Kendall Wright,CHI,WR,6.9,3,7.6,19.79,59,91,64.84,614,1,3.7,4,-0.3,2017
10,A.Robinson,Aldrick Robinson,SF,WR,6.9,2.7,12.2,12,19,48,39.58,260,2,2.2,2.4,-0.2,2017
11,T.Ginn,Ted Ginn,NO,WR,6.9,3.5,12,25.14,53,70,75.71,787,4,5.7,6.2,-0.5,2017
12,A.Humphries,Adam Humphries,TB,WR,6.9,3.4,6.6,9.01,61,83,73.49,631,1,5,5.2,-0.2,2017
13,B.Ellington,Bruce Ellington,HOU,WR,6.7,2.9,9.8,10.35,29,57,50.88,330,2,4.5,4.9,-0.4,2017
14,A.Wilson,Albert Wilson,KC,WR,6.7,4.1,5.7,8.73,42,62,67.74,554,3,8,7.8,0.2,2017
15,S.Diggs,Stefon Diggs,MIN,WR,6.6,2.8,11.5,27.38,64,95,67.37,849,8,4.8,4.2,0.7,2017
16,M.Bryant,Martavis Bryant,PIT,WR,6.6,3.1,14,22.06,50,84,59.52,603,3,4,4.5,-0.5,2017
17,D.Funchess,Devin Funchess,CAR,WR,6.6,2.5,12.9,34.63,63,111,56.76,840,8,4.8,4.5,0.3,2017
18,J.Brown,Jaron Brown,ARI,WR,6.6,2.4,15.3,18.32,31,69,44.93,477,4,3.3,3,0.3,2017
19,D.Walker,Delanie Walker,TEN,TE,6.6,2.6,9.2,23.89,74,111,66.67,807,3,3.7,4.3,-0.6,2017
20,R.Woods,Robert Woods,LAR,WR,6.5,3,10.8,22.34,56,85,65.88,781,5,5.5,5.2,0.3,2017
21,R.Louis,Ricardo Louis,CLE,WR,6.5,2.4,13.8,15.66,27,61,44.26,357,0,3.6,4.5,-0.9,2017
22,J.Crowder,Jamison Crowder,WAS,WR,6.5,3.2,7.4,18.11,66,103,64.08,789,3,5.8,6.3,-0.5,2017
23,C.Godwin,Chris Godwin,TB,WR,6.5,2.2,12.3,11.22,34,55,61.82,525,1,5.5,3.4,2.1,2017
24,R.Anderson,Robby Anderson,NYJ,WR,6.4,3.4,12.8,38.46,63,114,55.26,941,7,5.1,5.4,-0.3,2017
25,T.Williams,Terrance Williams,DAL,WR,6.3,3.1,9.1,17.2,53,78,67.95,568,0,4.4,5.2,-0.8,2017
26,D.Inman,Dontrelle Inman,CHI,WR,6.3,2,13.1,16.56,25,44,56.82,344,1,1.9,2.7,-0.9,2017
27,J.Nelson,J.J. Nelson,ARI,WR,6.3,2.3,18.1,19.18,29,61,47.54,508,2,2.4,2.9,-0.6,2017
28,E.Ebron,Eric Ebron,DET,TE,6.3,3.3,7.6,14.39,53,86,61.63,574,4,5.1,4.9,0.2,2017
