,shortName,playerName,team,position,averageCushion,averageSeparation,averageTargetedAirYards,shareOfTeamAirYards,receptions,targets,catchPercentage,receivingYards,receivingTouchdowns,avgYAC,expectedAvgYAC,avgYACAboveExpectation,season
0,T.Hill,Tyreek Hill,KC,WR,8,3.5,7.9,16.71,61,83,73.49,599,6,4.7,5.3,-0.6,2016
1,T.Benjamin,Travis Benjamin,LAC,WR,7.6,3,13.3,19.54,47,75,62.67,677,4,5.7,5,0.7,2016
2,R.Rodgers,Richard Rodgers,GB,TE,7.5,2.7,8.4,6.89,30,47,63.83,271,2,3.3,3.3,0.1,2016
3,C.Patterson,Cordarrelle Patterson,MIN,WR,7.5,3.2,5.6,9.53,52,70,74.29,453,2,6.3,5.6,0.7,2016
4,D.Jackson,DeSean Jackson,WAS,WR,7.4,2.9,16,28.09,56,100,56,1005,4,4.9,5.1,-0.2,2016
5,A.Wilson,Albert Wilson,KC,WR,7.2,3.5,7.7,10.08,31,51,60.78,279,2,5.2,5.2,0,2016
6,R.Matthews,Rishard Matthews,TEN,WR,7.2,2.2,13.5,29.93,65,108,60.19,945,9,3.9,4,-0.1,2016
7,B.Cooks,Brandin Cooks,NO,WR,7.1,2.8,13.4,30.87,78,117,66.67,1173,8,4.6,4.1,0.5,2016
8,T.Gabriel,Taylor Gabriel,ATL,WR,7.1,3.2,11.2,11.64,35,50,70,579,6,7.9,6.4,1.5,2016
9,P.Dorsett,Phillip Dorsett,IND,WR,7.1,2.9,13.8,15.59,33,59,55.93,528,2,4.3,4.7,-0.3,2016
10,C.Conley,Chris Conley,KC,WR,7.1,2.9,10.6,18.68,44,69,63.77,530,0,3,4,-1,2016
11,T.Austin,Tavon Austin,LAR,WR,7,3.2,7.5,18.75,58,106,54.72,509,3,4.6,4.7,-0.2,2016
12,T.Ginn,Ted Ginn,CAR,WR,7,3,13.4,20.93,54,95,56.84,752,4,3.4,4.1,-0.7,2016
13,T.Lockett,Tyler Lockett,SEA,WR,6.8,3.4,10.8,13.76,41,66,62.12,597,1,5.3,5.6,-0.2,2016
14,S.Coates,Sammie Coates,PIT,WR,6.8,2.5,22,19.28,21,49,42.86,435,2,5.7,6.3,-0.5,2016
15,J.Crowder,Jamison Crowder,WAS,WR,6.7,3.6,8.7,15.01,67,99,67.68,847,7,5.6,5.7,-0.1,2016
16,C.Beasley,Cole Beasley,DAL,WR,6.7,3.4,6.8,15.97,75,98,76.53,833,5,5,5.2,-0.2,2016
17,J.Kerley,Jeremy Kerley,SF,WR,6.7,3.1,9.2,24.8,64,115,55.65,667,3,3.2,4.8,-1.7,2016
18,D.Baldwin,Doug Baldwin,SEA,WR,6.7,3.1,9.4,22.77,94,125,75.2,1128,7,4.9,5.1,-0.2,2016
19,M.Goodwin,Marquise Goodwin,BUF,WR,6.6,2.8,15.8,22.87,29,68,42.65,413,3,2.3,2.3,0.1,2016
20,J.Edelman,Julian Edelman,NE,WR,6.6,2.7,9.5,33.83,98,159,61.64,1106,3,4.9,4.7,0.2,2016
21,L.Fitzgerald,Larry Fitzgerald,ARI,WR,6.6,2.4,8,18.06,107,150,71.33,1023,6,3.4,3.6,-0.2,2016
22,S.Smith,Steve Smith,BAL,WR,6.6,2.7,9.1,17.49,70,101,69.31,799,5,3.8,3.2,0.7,2016
23,B.Quick,Brian Quick,LAR,WR,6.5,2.2,12.3,22.14,41,77,53.25,564,3,4,2.9,1.1,2016
24,A.Hurns,Allen Hurns,JAX,WR,6.5,2.5,10.8,14.98,35,76,46.05,477,3,6,6.2,-0.2,2016
25,Q.Enunwa,Quincy Enunwa,NYJ,WR,6.5,2.4,9.7,19.34,58,105,55.24,857,4,6.2,5.8,0.4,2016
26,D.Walker,Delanie Walker,TEN,TE,6.5,2.9,10.1,21.08,65,102,63.73,800,7,4,4.1,-0.1,2016
27,A.Humphries,Adam Humphries,TB,WR,6.5,3.4,5.7,7.79,55,83,66.27,622,2,7.2,6.4,0.7,2016
28,K.Stills,Kenny Stills,MIA,WR,6.5,2.5,15.3,31.58,42,81,51.85,726,9,4.2,3.8,0.4,2016
29,R.Woods,Robert Woods,BUF,WR,6.4,3.5,11.2,18.05,51,76,67.11,613,1,2.7,3.6,-0.9,2016
30,K.Rudolph,Kyle Rudolph,MIN,TE,6.4,2.9,7.3,23.43,83,132,62.88,840,7,4.4,5.3,-0.9,2016
31,T.Sharpe,Tajae Sharpe,TEN,WR,6.4,2.1,13.8,23.42,41,83,49.4,522,2,2.1,2.5,-0.4,2016
32,Q.Patton,Quinton Patton,SF,WR,6.4,3.2,9.9,14.68,37,63,58.73,408,0,5.4,5.6,-0.2,2016
33,V.Davis,Vernon Davis,WAS,TE,6.4,3.2,9.7,10.05,44,59,74.58,581,2,5.2,5.9,-0.6,2016
34,T.Williams,Terrance Williams,DAL,WR,6.3,2.7,12.3,17.93,44,61,72.13,594,4,3.5,3.9,-0.3,2016
35,T.Smith,Torrey Smith,SF,WR,6.3,2.3,13.8,15.94,20,49,40.82,267,3,2.8,3.8,-1,2016
36,M.Lee,Marqise Lee,JAX,WR,6.3,2.6,11.9,22.8,63,105,60,851,3,5.5,5.4,0.1,2016
37,K.Wright,Kendall Wright,TEN,WR,6.3,2.9,10.7,9.41,29,43,67.44,416,3,4.3,4.3,0,2016
38,N.Agholor,Nelson Agholor,PHI,WR,6.2,2.3,11.4,16.26,36,69,52.17,365,2,3,3.3,-0.3,2016
39,Z.Ertz,Zach Ertz,PHI,TE,6.2,3.2,8.4,18.38,78,106,73.58,816,4,3.4,4,-0.6,2016
40,D.Funchess,Devin Funchess,CAR,WR,6.2,2,14.9,14.24,23,58,39.66,371,4,4.4,3.7,0.7,2016
41,D.Inman,Dontrelle Inman,LAC,WR,6.2,2.8,11.4,21.63,58,97,59.79,810,4,3.7,4.5,-0.8,2016
42,M.Bennett,Martellus Bennett,NE,TE,6.2,3.8,6,9.8,55,73,75.34,701,7,7.6,6.6,1.1,2016
43,W.Snead,Willie Snead,NO,WR,6.2,3.1,7.4,15.13,72,104,69.23,895,4,5.5,5.9,-0.4,2016
44,J.Maclin,Jeremy Maclin,KC,WR,6.1,2.4,11.5,22.3,44,76,57.89,536,2,3.1,4.1,-1,2016
45,M.Crabtree,Michael Crabtree,OAK,WR,6.1,2.3,11.6,33.82,89,145,61.38,1003,8,2.9,2.9,-0.1,2016
46,C.Brown,Corey Brown,CAR,WR,6.1,3.2,10.1,8.8,27,53,50.94,271,1,4.3,5.1,-0.9,2016
47,D.Green-Beckham,Dorial Green-Beckham,PHI,WR,6.1,2.6,10.7,16.33,36,74,48.65,392,2,4,4.5,-0.5,2016
48,A.Gates,Antonio Gates,LAC,TE,6,2.8,8.8,15.99,53,93,56.99,548,7,3.6,4,-0.4,2016
49,W.Tye,Will Tye,NYG,TE,6,3.1,6.3,9.02,48,70,68.57,395,1,3.9,4.7,-0.8,2016
50,E.Royal,Eddie Royal,CHI,WR,6,3.4,6.3,5.11,33,43,76.74,369,2,5.8,4.8,1,2016
