,shortName,playerName,team,position,averageCushion,averageSeparation,averageTargetedAirYards,shareOfTeamAirYards,receptions,targets,catchPercentage,receivingYards,receivingTouchdowns,avgYAC,expectedAvgYAC,avgYACAboveExpectation,season
0,J.Reynolds,Josh Reynolds,LAR,WR,7.5,3,12.9,13.64,29,52,55.77,402,5,4.8,4.4,0.3,2018
1,D.Jackson,DeSean Jackson,TB,WR,7.3,2.7,19.1,21.43,41,74,55.41,774,4,4.6,4.5,0,2018
2,T.Taylor,Taywan Taylor,TEN,WR,7.1,3.2,13.2,22.99,37,56,66.07,466,1,4.7,4.3,0.4,2018
3,T.Gabriel,Taylor Gabriel,CHI,WR,7,3.5,11,23.01,67,93,72.04,688,2,3.6,4.3,-0.7,2018
4,C.Samuel,Curtis Samuel,CAR,WR,6.7,2.4,12.2,19.14,39,65,60,494,5,2.9,3.5,-0.6,2018
5,C.Kupp,Cooper Kupp,LAR,WR,6.7,3.5,8.6,9.62,40,55,72.73,566,6,7.7,7,0.8,2018
6,K.Cole,Keelan Cole,JAX,WR,6.6,2.9,9.7,18.34,38,70,54.29,491,1,3.9,4.5,-0.6,2018
7,J.Reed,Jordan Reed,WAS,TE,6.6,3.3,6.6,13.36,54,84,64.29,558,2,4.5,4.9,-0.4,2018
8,T.Lockett,Tyler Lockett,SEA,WR,6.6,3.3,13.5,24.44,57,70,81.43,965,10,4.2,4.7,-0.5,2018
9,M.Harris,Maurice Harris,WAS,WR,6.6,3.1,10.5,11.85,28,47,59.57,304,0,3.4,5.3,-1.9,2018
10,Q.Enunwa,Quincy Enunwa,NYJ,WR,6.6,3.1,7.3,10.72,38,68,55.88,450,1,7.7,5.7,2,2018
11,A.Humphries,Adam Humphries,TB,WR,6.5,3.6,6.1,9.67,76,105,72.38,816,5,5.7,5.3,0.4,2018
12,C.Conley,Chris Conley,KC,WR,6.5,3.3,9.5,9.39,32,52,61.54,334,5,4.3,4.1,0.2,2018
13,R.Higgins,Rashard Higgins,CLE,WR,6.5,3,11.2,11.19,39,53,73.58,572,4,4.2,4.4,-0.3,2018
14,K.Bourne,Kendrick Bourne,SF,WR,6.5,2.8,9.1,15.4,42,67,62.69,487,4,3.6,3.7,0,2018
15,R.Anderson,Robby Anderson,NYJ,WR,6.4,2.3,16.5,33.58,50,94,53.19,752,6,3.6,3.9,-0.3,2018
16,S.Roberts,Seth Roberts,OAK,WR,6.4,3.2,8.3,14.48,45,64,70.31,494,2,5.7,4.5,1.2,2018
17,J.Crowder,Jamison Crowder,WAS,WR,6.4,2.9,9.1,10.71,29,49,59.18,388,2,7.6,5.9,1.8,2018
18,R.Woods,Robert Woods,LAR,WR,6.4,3,11.3,29.84,86,130,66.15,1219,6,5.3,5.1,0.2,2018
19,J.Kearse,Jermaine Kearse,NYJ,WR,6.4,2.7,9.3,15.33,37,76,48.68,371,1,3.7,3.9,-0.2,2018
20,L.Fitzgerald,Larry Fitzgerald,ARI,WR,6.3,2.3,9.6,27,69,112,61.61,734,6,3.2,3.2,0.1,2018
21,L.Treadwell,Laquon Treadwell,MIN,WR,6.3,2.9,6,7.05,35,53,66.04,302,1,3.4,3,0.4,2018
22,C.Ridley,Calvin Ridley,ATL,WR,6.3,3.2,10,17.68,64,92,69.57,821,10,5.8,5.1,0.7,2018
23,R.Foster,Robert Foster,BUF,WR,6.3,2.7,20.6,17.78,26,43,60.47,526,3,6.5,5.9,0.6,2018
24,G.Tate,Golden Tate,PHI,WR,6.3,3,6.3,16.13,74,113,65.49,789,4,5.8,4.6,1.2,2018
25,M.Valdes-Scantling,Marquez Valdes-Scantling,GB,WR,6.3,3.3,12.6,16.26,38,73,52.05,581,2,6.2,6.7,-0.5,2018
26,D.Amendola,Danny Amendola,MIA,WR,6.3,3.2,7,15.57,59,79,74.68,575,1,4.2,4.8,-0.7,2018
27,J.Graham,Jimmy Graham,GB,TE,6.3,2.9,9.3,14.67,55,89,61.8,636,2,5.1,5,0.1,2018
28,C.Godwin,Chris Godwin,TB,WR,6.2,2.6,11.9,17.14,59,95,62.11,842,7,4.6,4,0.6,2018
29,C.Hogan,Chris Hogan,NE,WR,6.2,4.1,12,15.24,35,55,63.64,532,3,6,5.8,0.2,2018
30,N.Agholor,Nelson Agholor,PHI,WR,6.2,3.4,10.5,23.1,64,97,65.98,743,4,6,5.7,0.3,2018
31,J.Edelman,Julian Edelman,NE,WR,6.2,3.3,7.7,19.16,74,108,68.52,850,6,5,5,-0.1,2018
32,C.Kirk,Christian Kirk,ARI,WR,6.2,2.7,9.8,16.67,43,68,63.24,590,3,5.4,4.7,0.8,2018
33,O.Beckham,Odell Beckham,NYG,WR,6.2,3,11.5,33.3,77,124,62.1,1052,6,4.5,5.3,-0.7,2018
34,Z.Jones,Zay Jones,BUF,WR,6.2,2.8,12.7,25.93,56,102,54.9,652,7,2.6,2.7,-0.1,2018
35,K.Stills,Kenny Stills,MIA,WR,6.2,2.4,16.4,29.41,37,64,57.81,553,6,3.7,2.9,0.7,2018
36,E.Sanders,Emmanuel Sanders,DEN,WR,6.2,3.2,9.3,20.87,71,98,72.45,866,4,4.6,4.1,0.5,2018
37,T.Sharpe,Tajae Sharpe,TEN,WR,6.2,3,11.3,16.54,26,47,55.32,316,2,3.4,3.4,0,2018
38,D.Westbrook,Dede Westbrook,JAX,WR,6.1,3.5,8.5,23.15,66,101,65.35,715,5,5.7,5.2,0.6,2018
39,D.Moore,D.J. Moore,CAR,WR,6.1,2.9,9,17.89,55,82,67.07,788,2,7.9,4.7,3.2,2018
40,R.Gronkowski,Rob Gronkowski,NE,TE,6.1,2.6,12,19.97,47,72,65.28,682,3,4.6,4.6,0.1,2018
41,Z.Ertz,Zach Ertz,PHI,TE,6.1,3.2,7.3,25.82,116,156,74.36,1163,8,3.3,4.2,-0.9,2018
42,C.Davis,Corey Davis,TEN,WR,6.1,3.1,10.3,35.83,65,112,58.04,891,4,4.3,4,0.3,2018
