,shortName,playerName,team,position,averageCushion,averageSeparation,averageTargetedAirYards,shareOfTeamAirYards,receptions,targets,catchPercentage,receivingYards,receivingTouchdowns,avgYAC,expectedAvgYAC,avgYACAboveExpectation,season,seasonType,week,gameId
0,R.Grant,Ryan Grant,WAS,WR,9.9,2.9,4.4,7.15,4,6,66.67,61,0,11.2,11.8,-0.5,2017,REG,1,2017091008
1,M.Bryant,Martavis Bryant,PIT,WR,8.3,4.1,12.7,33.33,2,6,33.33,14,0,0.2,2.5,-2.3,2017,REG,1,2017091003
2,C.Fleener,Coby Fleener,NO,TE,8.1,1.6,8.5,19.68,5,6,83.33,54,1,2.2,2.2,0,2017,REG,1,2017091100
3,J.Cook,Jared Cook,OAK,TE,7.8,2.8,6.7,17.45,5,5,100,56,0,4.5,4.2,0.3,2017,REG,1,2017091007
4,J.Crowder,Jamison Crowder,WAS,WR,7.7,3.2,10.5,19.95,3,7,42.86,14,0,1.4,2.4,-1,2017,REG,1,2017091008
5,J.Reed,Jordan Reed,WAS,TE,7.6,3.7,5.7,12.34,5,8,62.5,36,0,2.6,3,-0.4,2017,REG,1,2017091008
6,D.Walker,Delanie Walker,TEN,TE,7.6,3.1,10.9,26.67,7,9,77.78,76,0,2.4,3.6,-1.2,2017,REG,1,2017091007
7,N.Agholor,Nelson Agholor,PHI,WR,7.4,2.5,10.5,20.27,6,8,75,86,1,5.6,3.9,1.7,2017,REG,1,2017091008
8,J.Brown,John Brown,ARI,WR,7.4,2.8,13.4,28.21,4,9,44.44,32,0,-0.4,1.1,-1.4,2017,REG,1,2017091004
9,T.Williams,Terrance Williams,DAL,WR,7.3,3.2,5.2,11.88,6,7,85.71,68,0,7.8,4.1,3.7,2017,REG,1,2017091012
10,T.Pryor,Terrelle Pryor,WAS,WR,7.1,2.3,15.6,46.52,6,11,54.55,66,0,4.8,4.8,0,2017,REG,1,2017091008
11,T.Hill,Tyreek Hill,KC,WR,7.1,5.2,11.6,35.73,7,8,87.5,133,1,7.9,9.2,-1.3,2017,REG,1,2017090700
