,shortName,playerName,team,position,averageCushion,averageSeparation,averageTargetedAirYards,shareOfTeamAirYards,receptions,targets,catchPercentage,receivingYards,receivingTouchdowns,avgYAC,expectedAvgYAC,avgYACAboveExpectation,season,seasonType,week
38,M.Sanu,Mohamed Sanu,ATL,WR,2.6,2.1,11.2,17.31,4,5,80,44,1,2.9,3.2,-0.3,2016,POST,19
39,P.Richardson,Paul Richardson,SEA,WR,5.5,3.5,23.4,28.63,4,5,80,83,0,6,6.7,-0.7,2016,POST,19
40,R.Cobb,Randall Cobb,GB,WR,5.9,5.4,5.7,10.1,7,8,87.5,62,0,5.4,5.6,-0.2,2016,POST,19
41,T.Gabriel,Taylor Gabriel,ATL,WR,6.8,3,8.3,15.47,4,6,66.67,71,0,10.2,5.8,4.3,2016,POST,19
42,T.Williams,Terrance Williams,DAL,WR,5.3,2.9,17.6,23.52,4,6,66.67,68,0,5.1,6.1,-1,2016,POST,19
43,T.Kelce,Travis Kelce,KC,TE,5.9,3.2,13.7,38.12,5,7,71.43,77,0,7.8,7,0.8,2016,POST,19
44,T.Hill,Tyreek Hill,KC,WR,11.6,4.2,1.4,3.37,4,6,66.67,27,0,4.3,5.4,-1.1,2016,POST,19
45,W.Fuller,Will Fuller,HOU,WR,4.2,2.1,16.3,27.48,3,6,50,16,0,0.7,0.9,-0.2,2016,POST,19
46,A.Brown,Antonio Brown,PIT,WR,2.9,4.2,7,13.42,7,9,77.78,77,0,4.7,6.1,-1.3,2016,POST,20
47,C.Hogan,Chris Hogan,NE,WR,7.6,4,13.3,58.61,9,12,75,180,2,6.4,7.3,-0.9,2016,POST,20
48,C.Hamilton,Cobi Hamilton,PIT,WR,2.4,2.4,17.2,18.29,2,5,40,37,1,2.7,3.4,-0.7,2016,POST,20
49,E.Rogers,Eli Rogers,PIT,WR,4.5,3.1,7.4,15.75,7,10,70,66,0,3,5.8,-2.8,2016,POST,20
50,J.Cook,Jared Cook,GB,TE,4.6,2.6,10.2,30.93,7,12,58.33,78,1,3,4,-1,2016,POST,20
51,J.James,Jesse James,PIT,TE,6.8,4.1,6.4,9.58,5,7,71.43,48,0,4.2,4.2,0,2016,POST,20
52,J.Nelson,Jordy Nelson,GB,WR,6.5,2.3,15.1,34.52,6,9,66.67,67,1,1.3,2.6,-1.3,2016,POST,20
53,J.Edelman,Julian Edelman,NE,WR,9.8,3.9,6.2,22.81,8,10,80,118,1,8.7,4,4.7,2016,POST,20
54,J.Jones,Julio Jones,ATL,WR,4.9,2.1,11.9,38.48,9,12,75,180,2,9.5,5.8,3.7,2016,POST,20
55,M.Bennett,Martellus Bennett,NE,TE,4.6,5.1,2.3,4.31,5,5,100,32,0,4.1,5.1,-1.1,2016,POST,20
56,M.Sanu,Mohamed Sanu,ATL,WR,6.4,2.8,11,20.79,5,7,71.43,52,1,-0.3,0.9,-1.2,2016,POST,20
57,R.Cobb,Randall Cobb,GB,WR,5.5,2.6,10,22.92,6,9,66.67,82,0,3.6,4.8,-1.3,2016,POST,20
58,S.Coates,Sammie Coates,PIT,WR,3.6,2,21.1,22.42,2,5,40,34,0,4.4,5.2,-0.8,2016,POST,20
59,A.Hooper,Austin Hooper,ATL,TE,5.9,1.6,15.3,31.06,3,6,50,32,1,1.3,1.7,-0.4,2016,POST,22
60,C.Hogan,Chris Hogan,NE,WR,4.1,2.7,18.1,20.27,4,7,57.14,57,0,0.2,1.5,-1.3,2016,POST,22
61,D.Amendola,Danny Amendola,NE,WR,5,2.4,7.5,13.26,8,11,72.73,78,1,2.9,3.1,-0.2,2016,POST,22
62,J.Edelman,Julian Edelman,NE,WR,4.4,1.7,14.9,30.87,5,13,38.46,87,0,0.9,2.9,-2,2016,POST,22
63,M.Mitchell,Malcolm Mitchell,NE,WR,2.5,2.1,12.6,14.06,6,7,85.71,70,0,1.3,3.3,-2,2016,POST,22
64,M.Bennett,Martellus Bennett,NE,TE,4.2,2.1,6.7,6.39,5,6,83.33,62,0,6,5.9,0.1,2016,POST,22
65,T.Gabriel,Taylor Gabriel,ATL,WR,2.8,3.5,17.7,30.05,3,5,60,76,0,3.1,6.3,-3.2,2016,POST,22
