,shortName,playerName,team,aggressiveness,attempts,avgAirYardsDifferential,avgAirYardsToSticks,avgCompletedAirYards,avgIntendedAirYards,avgTimeToThrow,completionPercentage,completionPercentageAboveExpectation,expectedCompletionPercentage,interceptions,maxCompletedAirDistance,passTouchdowns,passYards,passerRating,season
0,J.Mccown,Josh McCown,CLE,15.8,165,-3,1.1,7.4,10.4,2.8,54.5,-5,59.5,6,52.3,6,1100,72.3,2016
1,R.Fitzpatrick,Ryan Fitzpatrick,NYJ,20.3,403,-2.7,1,7.1,9.7,2.45,56.6,-4,60.6,17,52.9,12,2710,69.6,2016
2,B.Gabbert,Blaine Gabbert,SF,21.9,160,-2.6,0.5,6.5,9.1,2.49,56.9,-7.3,64.2,6,36.9,5,925,68.4,2016
3,K.Cousins,Kirk Cousins,WAS,14,605,-1.9,0.7,7.5,9.4,2.81,67.1,8.4,58.7,12,57.5,25,4917,97.4,2016
4,J.Winston,Jameis Winston,TB,21.9,567,-2.7,1.3,8,10.7,2.88,60.8,2,58.9,18,50.7,28,4090,86.1,2016
5,T.Taylor,Tyrod Taylor,BUF,14.2,436,-2.7,0.8,7.2,9.9,3.13,61.7,1.3,60.4,6,61.1,17,3023,89.7,2016
6,C.Wentz,Carson Wentz,PHI,21.1,607,-2.6,-1,5.4,7.9,2.65,62.4,-0.2,62.6,14,61.5,16,3782,79.3,2016
7,M.Ryan,Matt Ryan,ATL,21,534,-1.8,-0.2,7.2,9,2.64,69.9,7.4,62.4,7,61.4,38,4944,117.1,2016
8,B.Bortles,Blake Bortles,JAX,23.8,625,-3,0.1,5.7,8.7,2.59,58.9,-0.5,59.4,16,44.1,23,3905,78.8,2016
9,B.Petty,Bryce Petty,NYJ,18.8,133,-3.5,0,5.7,9.2,2.52,56.4,-4.5,60.9,7,58.3,3,809,60,2016
10,D.Prescott,Dak Prescott,DAL,20.9,459,-1.5,-0.4,7.2,8.7,2.88,67.8,7.3,60.5,4,51.3,23,3667,104.9,2016
11,M.Barkley,Matt Barkley,CHI,21.8,216,-2.1,1.3,8.4,10.5,2.68,59.7,1,58.7,14,47.7,8,1611,68.3,2016
12,J.Goff,Jared Goff,LAR,25.9,205,-2.6,-2.1,4.9,7.5,2.54,54.6,-5.4,60,7,51.4,5,1089,63.6,2016
13,B.Hoyer,Brian Hoyer,CHI,22,200,-2.5,-0.8,5.7,8.2,2.49,67,5.3,61.7,0,45.5,6,1437,97.9,2016
14,A.Dalton,Andy Dalton,CIN,17.9,563,-1.9,-0.3,6.7,8.6,2.5,64.7,4.9,59.8,8,61.3,18,4206,91.8,2016
15,T.Siemian,Trevor Siemian,DEN,20.2,486,-2.1,0.3,7.1,9.2,2.72,59.5,2,57.5,10,57.3,18,3401,84.6,2016
16,D.Carr,Derek Carr,OAK,19.6,560,-2.4,-0.7,5.9,8.4,2.49,63.7,2.4,61.4,6,62.9,28,3937,96.7,2016
17,M.Mariota,Marcus Mariota,TEN,20,451,-2,0.8,7.7,9.8,2.75,61.2,2.2,59,9,53.7,26,3426,95.6,2016
18,C.Kaepernick,Colin Kaepernick,SF,13.3,331,-2.8,-0.9,5.7,8.5,2.76,59.2,-5.8,65.1,4,44.1,16,2241,90.7,2016
19,A.Luck,Andrew Luck,IND,18.9,545,-1.2,-0.1,7.7,8.9,2.88,63.5,5,58.5,13,57,31,4239,96.4,2016
20,C.Kessler,Cody Kessler,CLE,20.5,195,-1.8,-1.2,6.1,7.8,2.9,65.6,6.5,59.1,2,40.5,6,1380,92.3,2016
21,R.G.Iii,Robert Griffin III,CLE,17.7,147,-4.1,0.5,5.3,9.4,2.84,59.2,-1.4,60.5,3,62,2,886,72.5,2016
22,C.Newton,Cam Newton,CAR,24.5,510,-2.7,1.7,8.3,11,2.7,52.9,-1.7,54.6,14,64,19,3509,75.8,2016
23,A.Rodgers,Aaron Rodgers,GB,16.4,610,-3,0.8,6.3,9.2,2.87,65.7,3.4,62.3,7,60.8,40,4428,104.2,2016
24,C.Keenum,Case Keenum,LAR,23,322,-2.2,-0.3,6.2,8.4,2.38,60.9,0.4,60.5,11,56.2,9,2201,76.4,2016
25,D.Brees,Drew Brees,NO,17.5,673,-1.4,-1,6.2,7.6,2.42,70,4.6,65.4,15,52.2,37,5208,101.7,2016
26,T.Brady,Tom Brady,NE,17.6,432,-1.8,-0.5,6.3,8.1,2.56,67.4,2.7,64.7,2,57,28,3554,112.2,2016
27,B.Osweiler,Brock Osweiler,HOU,21.4,510,-3.1,0.8,6.3,9.4,2.61,59,-0.6,59.7,16,62.2,15,2957,72.2,2016
28,A.Smith,Alex Smith,KC,16,489,-2,-1.7,5,7,2.38,67.1,-0.4,67.5,8,52.1,15,3502,91.2,2016
29,S.Bradford,Sam Bradford,MIN,19.4,552,-1.8,-2,5,6.8,2.48,71.6,6.8,64.7,5,50.7,20,3870,99.2,2016
30,M.Stafford,Matthew Stafford,DET,20.6,592,-2.2,-0.8,5.8,7.9,2.54,65.4,3.8,61.6,10,58.8,23,4314,92.8,2016
31,B.Roethlisberger,Ben Roethlisberger,PIT,14.7,509,-2.9,0.7,6.4,9.4,2.59,64.4,-0.3,64.8,13,56.7,29,3819,95.4,2016
32,J.Cutler,Jay Cutler,CHI,22.6,137,-1.6,0.1,7.9,9.5,2.76,59.1,-2.3,61.4,5,65,4,1059,78.1,2016
33,J.Flacco,Joe Flacco,BAL,17,672,-2.5,-1.3,5.2,7.7,2.57,64.9,0.3,64.6,15,62.7,20,4317,83.5,2016
34,R.Tannehill,Ryan Tannehill,MIA,15.7,389,-2.1,-0.9,5.9,8.1,2.6,67.1,5.4,61.7,12,58.9,19,2995,93.5,2016
35,R.Wilson,Russell Wilson,SEA,17.9,546,-2,0,7.2,9.2,2.61,64.7,5,59.6,11,59.8,21,4219,92.6,2016
36,E.Manning,Eli Manning,NYG,19.7,598,-2.8,-0.4,5.4,8.2,2.53,63,-1.5,64.6,16,53.6,26,4027,86,2016
37,C.Palmer,Carson Palmer,ARI,19.6,597,-2.8,0.9,7.3,10.1,2.49,61,1.2,59.8,14,55.6,26,4233,87.2,2016
