,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,quarter,time,desc
0,K.Hunt,Kareem Hunt,KC,RB,20.84,58,rush,0,0,2017,REG,1,2017090700,4465,4,04:15,(4:15) (Shotgun) K.Hunt left end pushed ob at NE 21 for 58 yards (D.McCourty).
1,T.Hill,Tyreek Hill,KC,WR,20.82,75,reception,1,0,2017,REG,1,2017090700,2756,3,09:28,"(9:28) (Shotgun) A.Smith pass deep right to T.Hill for 75 yards, TOUCHDOWN."
2,J.Maclin,Jeremy Maclin,BAL,WR,20.6,48,reception,1,0,2017,REG,1,2017091002,1622,2,02:00,"(2:00) (Shotgun) J.Flacco pass short middle to J.Maclin for 48 yards, TOUCHDOWN."
3,T.Benjamin,Travis Benjamin,LAC,WR,20.56,38,reception,1,0,2017,REG,1,2017091101,3164,4,07:07,"(7:07) (Shotgun) P.Rivers pass deep left to T.Benjamin for 38 yards, TOUCHDOWN."
4,D.Cook,Dalvin Cook,MIN,RB,20.45,33,rush,0,0,2017,REG,1,2017091100,3939,4,01:42,(1:42) (Shotgun) D.Cook right end to NO 12 for 33 yards (A.Klein).
5,D.Cook,Dalvin Cook,MIN,RB,19.98,32,rush,0,0,2017,REG,1,2017091100,2998,4,15:00,(15:00) (Shotgun) D.Cook right end to NO 16 for 32 yards (A.Klein).
6,B.Cooks,Brandin Cooks,NE,WR,19.9,54,reception,0,0,2017,REG,1,2017090700,3409,3,02:50,"(2:50) (Shotgun) T.Brady pass deep left to B.Cooks to KC 18 for 54 yards (T.Mitchell). Penalty on KC-P.Gaines, Defensive Holding, declined."
7,C.Latimer,Cody Latimer,DEN,WR,19.84,36,kickoff ret,0,0,2017,REG,1,2017091101,3070,4,,Y.Koo kicks 78 yards from LAC 20 to DEN 2. C.Latimer to DEN 38 for 36 yards (J.Onwualu).
8,L.Fitzgerald,Larry Fitzgerald,ARI,WR,19.74,33,reception,0,0,2017,REG,1,2017091004,1200,2,11:53,(11:53) (Shotgun) C.Palmer pass short middle to L.Fitzgerald pushed ob at DET 42 for 33 yards (Q.Diggs).
9,L.Mccoy,LeSean McCoy,BUF,RB,19.66,23,rush,0,0,2017,REG,1,2017091000,,2,15:00,(15:00) (Shotgun) L.McCoy right end pushed ob at NYJ 34 for 23 yards (M.Maye).
10,L.Joyner,Lamarcus Joyner,LA,CB,19.62,29,int,1,0,2017,REG,1,2017091009,2479,3,07:23,"(7:23) (Shotgun) S.Tolzien pass short left intended for T.Hilton INTERCEPTED by L.Joyner at IND 29. L.Joyner for 29 yards, TOUCHDOWN."
11,T.Gipson,Tashaun Gipson,JAX,FS,19.6,67,int,0,0,2017,REG,1,2017091005,3811,4,03:45,(3:45) (Shotgun) D.Watson pass short middle intended for S.Anderson INTERCEPTED by T.Gipson at JAX 6. T.Gipson to HOU 27 for 67 yards (D.Watson).
12,J.Matthews,Jordan Matthews,BUF,WR,19.55,47,reception,0,0,2017,REG,1,2017091000,2598,3,08:36,"(8:36) T.Taylor pass short middle to J.Matthews pushed ob at NYJ 17 for 47 yards (M.Maye). Caught at BUF 43, crossing from right."
13,I.Mckenzie,Isaiah McKenzie,DEN,WR,19.47,31,punt ret,0,0,2017,REG,1,2017091101,,2,10:20,"(10:20) D.Kaser punts 59 yards to DEN 13, Center-M.Windt. I.McKenzie ran ob at DEN 44 for 31 yards."
14,K.Golladay,Kenny Golladay,DET,WR,19.43,45,reception,1,0,2017,REG,1,2017091004,4028,4,04:22,"(4:22) M.Stafford pass deep middle to K.Golladay for 45 yards, TOUCHDOWN."
15,A.Roberts,Andre Roberts,ATL,WR,19.39,11,kickoff ret,0,1,2017,REG,1,2017091001,36,1,,"C.Barth kicks 60 yards from CHI 35 to ATL 5. A.Roberts pushed ob at CHI 32 for 63 yards (C.LeBlanc). PENALTY on ATL-K.Ishmael, Illegal Block Above the Waist, 8 yards, enforced at ATL 16."
16,R.Grant,Ryan Grant,WAS,WR,19.37,34,reception,0,0,2017,REG,1,2017091008,338,1,11:23,(11:23) (Shotgun) K.Cousins pass short left to R.Grant pushed ob at PHI 41 for 34 yards (R.McLeod).
17,C.Carson,Chris Carson,SEA,RB,19.27,30,rush,0,0,2017,REG,1,2017091010,2468,3,08:28,"(8:28) C.Carson up the middle to GB 30 for 30 yards (Q.Rollins, K.Brice)."
18,J.Mckinnon,Jerick McKinnon,MIN,RB,19.27,31,kickoff ret,0,0,2017,REG,1,2017091100,,2,,W.Lutz kicks 70 yards from NO 35 to MIN -5. J.McKinnon to MIN 26 for 31 yards (C.Robertson).
19,T.Lewis,Tommylee Lewis,NO,WR,19.25,52,reception,0,0,2017,REG,1,2017091100,2695,3,03:50,"(3:50) D.Brees pass deep right to T.Lewis to MIN 8 for 52 yards (T.Waynes). Penalty on MIN-T.Waynes, Defensive Pass Interference, declined."
