,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,desc
0,A.Green,A.J. Green,CIN,WR,20.95,38,reception,1,0,2018,REG,1,"(6:02) A.Lee punts 58 yards to LA 27, Center-A.Brewer. J.Natson ran ob at LA 44 for 17 yards (G.Hodges)."
1,D.Jennings,Darius Jennings,TEN,WR,20.64,94,kickoff ret,1,0,2018,REG,1,"(12:39) (Shotgun) P.Rivers pass short right to Ty.Williams pushed ob at LAC 38 for 18 yards (J.Poyer). Caught at LAC 21, crossing from middle."
2,D.Jackson,DeSean Jackson,TB,WR,20.45,58,reception,1,0,2018,REG,1,(9:26) E.Elliott left tackle to DAL 48 for 19 yards (L.Collins).
3,D.Jackson,DeSean Jackson,TB,WR,20.41,36,reception,1,1,2018,REG,1,"(10:00) (Punt formation) K.Byard pass deep right to D.Cruikshank for 66 yards, TOUCHDOWN."
4,D.Henry,Derrick Henry,TEN,RB,21.46,2,rush,0,1,2018,REG,1,(11:42) P.Lindsay up the middle pushed ob at OAK 22 for 53 yards (M.Gilchrist).
5,I.Crowell,Isaiah Crowell,NYJ,RB,20.95,62,rush,1,0,2018,REG,1,(12:39) J.Goff pass deep middle to B.Cooks to ARZ 22 for 57 yards (J.Taylor).
6,J.Grant,Jakeem Grant,MIA,WR,20.93,102,kickoff ret,1,0,2018,REG,1,"(3:48) (Shotgun) T.Brady pass short middle to C.Hogan for 29 yards, TOUCHDOWN."
7,J.Conner,James Conner,PIT,RB,21.03,22,rush,1,0,2018,REG,1,(9:25) J.Crowder left end pushed ob at 50 for 25 yards (M.Hooker). End around
8,J.Smith-Schuster,JuJu Smith-Schuster,PIT,WR,20.93,67,reception,0,0,2018,REG,1,(:41) (Shotgun) S.Darnold pass deep middle to T.Pryor to MIA 31 for 44 yards (R.Jones).
9,K.Stills,Kenny Stills,MIA,WR,20.25,75,reception,1,0,2018,REG,1,"(4:33) A.Lee punts 58 yards to LA 8, Center-A.Brewer. J.Natson to ARZ 32 for 60 yards (A.Lee)."
10,M.Breida,Matt Breida,SF,RB,20.19,-1,rush,0,0,2018,REG,1,(11:42) P.Lindsay up the middle pushed ob at OAK 22 for 53 yards (M.Gilchrist).
11,M.Evans,Mike Evans,TB,WR,20.15,50,reception,1,0,2018,REG,1,(9:25) J.Crowder left end pushed ob at 50 for 25 yards (M.Hooker). End around
12,N.Hines,Nyheim Hines,IND,RB,20.05,4,rush,0,0,2018,REG,1,(:41) (Shotgun) S.Darnold pass deep middle to T.Pryor to MIA 31 for 44 yards (R.Jones).
13,P.Cooper,Pharoh Cooper,LAR,WR,20.03,12,punt ret,0,0,2018,REG,1,"(:53) (No Huddle, Shotgun) D.Brees pass deep middle to T.Ginn ran ob at CLV 25 for 42 yards (D.Randall). Pass 16, YAC 26"
