,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,desc
252,M.Ingram,Mark Ingram,NO,RB,19.8,72,rush,0,0,2017,REG,13,2017120307,,Q2 (13:08) M.Ingram right guard to CAR 12 for 72 yards (D.Worley).
253,K.Golladay,Kenny Golladay,DET,WR,19.6,31,reception,0,0,2017,REG,13,2017120301,,Q2 (11:52) (Shotgun) M.Stafford pass deep right to K.Golladay pushed ob at BAL 44 for 31 yards (J.Smith).
254,T.Cohen,Tarik Cohen,CHI,RB,19.55,7,punt ret,0,1,2017,REG,13,2017120303,,"Q4 (10:56) (Punt formation) B.Pinion punts 28 yards to CHI 17, Center-K.Nelson. T.Cohen pushed ob at SF 16 for 67 yards (E.Lee). PENALTY on CHI-B.Braunecker, Illegal Block Above the Waist, 10 yards, enforced at CHI 24."
255,B.Miller,Braxton Miller,HOU,WR,19.43,57,reception,0,0,2017,REG,13,2017120309,,Q2 (12:10) (Shotgun) T.Savage pass deep middle to B.Miller to TEN 3 for 57 yards (A.Jackson) [K.Klug].
256,P.Cooper,Pharoh Cooper,LA,WR,19.39,30,punt ret,0,0,2017,REG,13,2017120311,,"Q3 (8:22) A.Lee punts 40 yards to LA 40, Center-J.Drescher. P.Cooper pushed ob at ARI 30 for 30 yards (S.Wright)."
257,K.Cole,Keelan Cole,JAX,WR,19.39,32,reception,0,0,2017,REG,13,2017120305,,Q3 (2:59) (Shotgun) B.Bortles pass deep left to K.Cole pushed ob at IND 8 for 32 yards (D.Butler).
258,T.Gurley,Todd Gurley,LA,RB,19.37,33,reception,0,0,2017,REG,13,2017120311,,Q4 (10:09) J.Goff pass short left to T.Gurley to ARI 25 for 33 yards (B.Baker).
259,M.Mariota,Marcus Mariota,TEN,QB,19.25,12,rush,0,1,2017,REG,13,2017120309,,"Q2 (:22) (Shotgun) M.Mariota scrambles left end pushed ob at HOU 35 for 12 yards (M.Williams). PENALTY on HOU-K.Johnson, Defensive Holding, 5 yards, enforced at HOU 35."
260,T.Hill,Tyreek Hill,KC,WR,20.78,44,reception,0,0,2017,REG,14,2017121006,,Q2 (3:51) A.Smith pass deep right to T.Hill pushed ob at OAK 10 for 44 yards (T.Carrie).
261,K.Cole,Keelan Cole,JAX,WR,20.68,75,reception,1,0,2017,REG,14,2017121005,,"Q3 (7:32) (Shotgun) B.Bortles pass deep middle to K.Cole for 75 yards, TOUCHDOWN. The Replay Official reviewed the runner was in bounds ruling, and the play was Upheld. The ruling on the field was confirmed."
262,T.Benjamin,Travis Benjamin,LAC,WR,20.54,47,punt ret,0,0,2017,REG,14,2017121010,,"Q4 (6:45) T.Way punts 50 yards to LAC 26, Center-N.Sundberg. T.Benjamin to WAS 27 for 47 yards (Q.Dunbar). WAS-C.Carter was injured during the play."
263,J.Stewart,Jonathan Stewart,CAR,RB,20.35,60,rush,1,0,2017,REG,14,2017121001,,"Q1 (11:06) T.Moton reported in as eligible.  J.Stewart right guard for 60 yards, TOUCHDOWN."
264,D.Jackson,DeSean Jackson,TB,WR,20.29,23,rush,0,0,2017,REG,14,2017121007,,Q3 (2:09) D.Jackson right end pushed ob at DET 41 for 23 yards (Q.Diggs).
265,T.Gurley,Todd Gurley,LA,RB,20.11,30,rush,0,0,2017,REG,14,2017121011,,Q1 (13:29) (No Huddle) T.Gurley left end pushed ob at PHI 2 for 30 yards (R.Darby).
266,X.Howard,Xavien Howard,MIA,CB,20.09,29,int,0,0,2017,REG,14,2017121100,,Q3 (13:40) (Shotgun) T.Brady pass deep left intended for B.Cooks INTERCEPTED by X.Howard at MIA 25. X.Howard to NE 46 for 29 yards (D.Amendola).
