,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,desc
0,A.Wilson,Albert Wilson,MIA,WR,21.74,74,reception,1,0,2018,REG,3,2018092306,3553,"(2:11) (Shotgun) R.Tannehill pass short middle to A.Wilson for 74 yards, TOUCHDOWN."
1,D.Jackson,DeSean Jackson,TB,WR,21.48,0,punt ret,0,1,2018,REG,3,2018092400,3619,"(8:57) J.Berry punts 46 yards to TB 17, Center-K.Canaday. D.Jackson for 83 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on TB-I.Johnson, Offensive Holding, 9 yards, enforced at TB 17."
2,J.Jones,Julio Jones,ATL,WR,21.33,58,reception,0,0,2018,REG,3,2018092300,3658,(9:35) M.Ryan pass deep middle to J.Jones to NO 12 for 58 yards (K.Crawley).
3,T.Ginn,Ted Ginn,NO,WR,21.27,20,rush,0,0,2018,REG,3,2018092300,3954,(4:17) T.Ginn right end ran ob at ATL 33 for 20 yards (R.Allen).
4,D.Rodgers-Cromartie,Dominique Rodgers-Cromartie,OAK,CB,21.07,0,punt ret,0,1,2018,REG,3,2018092306,250,"(12:06) (Punt formation) M.Haack punts 59 yards to OAK 9, Center-J.Denney. D.Rodgers-Cromartie to OAK 8 for -1 yards (J.Denney). PENALTY on OAK-D.Harris, Illegal Block Above the Waist, 4 yards, enforced at OAK 8."
5,J.Nelson,Jordy Nelson,OAK,WR,21.05,61,reception,0,0,2018,REG,3,2018092306,80,(14:56) D.Carr pass short middle to J.Nelson pushed ob at MIA 14 for 61 yards (J.Baker) [A.Spence].
6,M.Williams,Mike Williams,LAC,WR,21.05,42,reception,1,0,2018,REG,3,2018092310,758,"(4:50) P.Rivers pass deep middle to M.Williams for 42 yards, TOUCHDOWN."
7,J.Nelson,Jordy Nelson,OAK,WR,20.97,66,reception,0,0,2018,REG,3,2018092306,425,(9:08) (Shotgun) D.Carr pass deep left to J.Nelson to MIA 8 for 66 yards (M.Fitzpatrick).
8,C.Ridley,Calvin Ridley,ATL,WR,20.9,75,reception,1,0,2018,REG,3,2018092300,1783,"(2:23) (Shotgun) M.Ryan pass deep right to C.Ridley for 75 yards, TOUCHDOWN."
9,A.Green,A.J. Green,CIN,WR,20.88,31,reception,0,0,2018,REG,3,2018092302,749,"(3:02) A.Dalton pass incomplete deep left to A.Green. Cincinnati challenged the incomplete pass ruling, and the play was REVERSED. A.Dalton pass deep left to A.Green ran ob at CAR 44 for 31 yards."
10,M.Breida,Matt Breida,SF,RB,20.8,26,rush,0,0,2018,REG,3,2018092305,500,(8:24) M.Breida left tackle pushed ob at KC 49 for 26 yards (E.Murray).
11,T.Gurley,Todd Gurley,LA,RB,20.72,25,reception,0,1,2018,REG,3,2018092310,2760,"(6:58) J.Goff pass short left to T.Gurley pushed ob at LAC 15 for 45 yards (C.Hayward). PENALTY on LA-R.Woods, Offensive Holding, 10 yards, enforced at LAC 35."
12,S.Barkley,Saquon Barkley,NYG,RB,20.66,24,rush,0,0,2018,REG,3,2018092303,1293,(9:19) (Run formation) S.Barkley right guard pushed ob at HOU 24 for 24 yards (T.Mathieu).
13,J.Allen,Josh Allen,BUF,QB,20.6,10,rush,1,0,2018,REG,3,2018092307,277,"(10:11) (Shotgun) J.Allen scrambles left end for 10 yards, TOUCHDOWN."
14,C.Mccaffrey,Christian McCaffrey,CAR,RB,20.48,45,rush,0,0,2018,REG,3,2018092302,631,(5:22) (Shotgun) C.McCaffrey up the middle to CIN 6 for 45 yards (J.Bates).
15,T.Williams,Tyrell Williams,LAC,WR,20.41,14,rush,0,0,2018,REG,3,2018092310,3210,(13:36) Ty.Williams left end to LA 10 for 14 yards (N.Robey; S.Ebukam).
16,T.Austin,Tavon Austin,DAL,WR,20.25,18,rush,0,0,2018,REG,3,2018092312,528,(6:09) T.Austin right end pushed ob at DAL 40 for 18 yards (M.Kendricks).
17,A.Peterson,Adrian Peterson,WAS,RB,20.25,41,rush,0,0,2018,REG,3,2018092309,1488,(6:28) A.Peterson right end pushed ob at GB 19 for 41 yards (H.Clinton-Dix; B.Martinez).
18,S.Shepard,Sterling Shepard,NYG,WR,20.25,23,reception,0,0,2018,REG,3,2018092303,3340,(7:31) (Shotgun) E.Manning pass short left to S.Shepard pushed ob at NYG 46 for 23 yards (J.Joseph).
19,T.Hilton,T.Y. Hilton,IND,WR,20.15,2,punt ret,0,1,2018,REG,3,2018092308,4183,"(:53) C.Johnston punts 52 yards to IND 19, Center-R.Lovato. T.Hilton ran ob at IND 29 for 10 yards. PENALTY on IND-G.Odum, Offensive Holding, 10 yards, enforced at IND 21. Penalty on IND-G.Odum, Illegal Block Above the Waist, declined."
