,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,desc
0,A.Callaway,Antonio Callaway,CLE,WR,21.48,47,reception,1,0,2018,REG,2,2018091603,3816,"(1:24) (Shotgun) T.Taylor pass deep middle to A.Callaway for 47 yards, TOUCHDOWN. Pass 47, YAC 0"
1,J.Natson,JoJo Natson,LA,WR,20.93,60,punt ret,0,0,2018,REG,2,2018091609,,"(4:33) A.Lee punts 58 yards to LA 8, Center-A.Brewer. J.Natson to ARZ 32 for 60 yards (A.Lee)."
2,P.Lindsay,Phillip Lindsay,DEN,RB,20.76,53,rush,0,0,2018,REG,2,2018091611,1115,(11:42) P.Lindsay up the middle pushed ob at OAK 22 for 53 yards (M.Gilchrist).
3,J.Crowder,Jamison Crowder,WAS,WR,20.68,25,rush,0,0,2018,REG,2,2018091608,360,(9:25) J.Crowder left end pushed ob at 50 for 25 yards (M.Hooker). End around
4,D.Jackson,DeSean Jackson,TB,WR,20.5,75,reception,1,0,2018,REG,2,2018091606,51,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN."
5,S.Diggs,Stefon Diggs,MIN,WR,20.48,75,reception,1,0,2018,REG,2,2018091602,3122,"(7:29) (Shotgun) K.Cousins pass deep middle to S.Diggs for 75 yards, TOUCHDOWN."
6,J.Natson,JoJo Natson,LA,WR,20.39,17,punt ret,0,0,2018,REG,2,2018091609,2352,"(6:02) A.Lee punts 58 yards to LA 27, Center-A.Brewer. J.Natson ran ob at LA 44 for 17 yards (G.Hodges)."
7,B.Cooks,Brandin Cooks,LA,WR,20.35,57,reception,0,0,2018,REG,2,2018091609,,(12:39) J.Goff pass deep middle to B.Cooks to ARZ 22 for 57 yards (J.Taylor).
8,T.Pryor,Terrelle Pryor,NYJ,WR,20.35,44,reception,0,0,2018,REG,2,2018091604,1875,(:41) (Shotgun) S.Darnold pass deep middle to T.Pryor to MIA 31 for 44 yards (R.Jones).
9,T.Ginn,Ted Ginn,NO,WR,20.35,42,reception,0,0,2018,REG,2,2018091603,3904,"(:53) (No Huddle, Shotgun) D.Brees pass deep middle to T.Ginn ran ob at CLE 25 for 42 yards (D.Randall). Pass 16, YAC 26"
10,T.Coleman,Tevin Coleman,ATL,RB,20.31,36,rush,0,0,2018,REG,2,2018091600,1284,"(7:13) T.Coleman right tackle to CAR 24 for 36 yards (D.Jackson). FUMBLES (D.Jackson), ball out of bounds at CAR 24."
11,O.Howard,O.J. Howard,TB,TE,20.31,75,reception,1,0,2018,REG,2,2018091606,1640,"(4:51) (Shotgun) R.Fitzpatrick pass short middle to O.Howard for 75 yards, TOUCHDOWN."
12,C.Hogan,Chris Hogan,NE,WR,20.29,29,reception,1,0,2018,REG,2,2018091612,3733,"(3:48) (Shotgun) T.Brady pass short middle to C.Hogan for 29 yards, TOUCHDOWN."
13,T.Williams,Tyrell Williams,LAC,WR,20.23,18,reception,0,0,2018,REG,2,2018091601,3235,"(12:39) (Shotgun) P.Rivers pass short right to Ty.Williams pushed ob at LAC 38 for 18 yards (J.Poyer). Caught at LAC 21, crossing from middle."
14,E.Elliott,Ezekiel Elliott,DAL,RB,20.15,19,rush,0,0,2018,REG,2,2018091613,343,(9:26) E.Elliott left tackle to DAL 48 for 19 yards (L.Collins).
15,D.Cruikshank,Dane Cruikshank,TEN,DB,20.15,66,reception,1,0,2018,REG,2,2018091607,329,"(10:00) (Punt formation) K.Byard pass deep right to D.Cruikshank for 66 yards, TOUCHDOWN."
16,P.Amukamara,Prince Amukamara,CHI,CB,20.09,49,int,1,0,2018,REG,2,2018091700,3637,"(6:47) (Shotgun) R.Wilson pass short left intended for R.Penny INTERCEPTED by P.Amukamara at SEA 49. P.Amukamara for 49 yards, TOUCHDOWN."
17,C.Newton,Cam Newton,CAR,QB,20.07,10,rush,0,0,2018,REG,2,2018091600,2953,(13:35) (Shotgun) C.Newton right end ran ob at ATL 17 for 10 yards (D.Riley).
18,R.Anderson,Robby Anderson,NYJ,WR,20.03,17,reception,0,0,2018,REG,2,2018091604,1225,(7:19) S.Darnold pass short left to R.Anderson pushed ob at NYJ 25 for 17 yards (J.Baker).
19,J.Agnew,Jamal Agnew,DET,CB,19.98,4,punt ret,0,1,2018,REG,2,2018091610,3871,"(6:31) B.Pinion punts 49 yards to DET 27, Center-K.Nelson. J.Agnew for 73 yards, TOUCHDOWN NULLIFIED by Penalty. Penalty on DET-T.Walker, Illegal Block Above the Waist, declined. PENALTY on DET-N.Bellore, Illegal Block Above the Waist, 10 yards, enforced at DET 31. Agnew credited with a 4-yd. return."
