,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,quarter,time,desc
0,J.Bethel,Justin Bethel,ARI,CB,21.74,66,int,1,0,2016,REG,17,2017010113,3877,4,08:15,"(8:15) (Shotgun) S.Mannion pass short right intended for P.Cooper INTERCEPTED by J.Bethel at ARI 34. J.Bethel for 66 yards, TOUCHDOWN."
1,C.Grant,Corey Grant,JAX,RB,21.66,57,rush,1,0,2016,REG,17,2017010103,1502,2,05:57,"(5:57) C.Grant up the middle for 57 yards, TOUCHDOWN."
2,T.Hill,Tyreek Hill,KC,WR,21.44,95,punt ret,1,0,2016,REG,17,2017010114,2710,3,01:20,"(1:20) D.Kaser punts 49 yards to KC 5, Center-M.Windt. T.Hill for 95 yards, TOUCHDOWN."
3,D.Freeman,Devonta Freeman,ATL,RB,21.31,75,rush,1,0,2016,REG,17,2017010100,699,1,03:53,"(3:53) D.Freeman right tackle for 75 yards, TOUCHDOWN."
4,T.Ginn,Ted Ginn,CAR,WR,21.17,39,reception,0,0,2016,REG,17,2017010109,2503,3,08:22,(8:22) (Shotgun) C.Newton pass short left to T.Ginn to TB 39 for 39 yards (K.Tandy).
5,P.Cooper,Pharoh Cooper,LA,WR,20.52,14,kickoff ret,0,0,2016,REG,17,2017010113,1261,2,,C.Catanzaro kicks 70 yards from ARI 35 to LA -5. P.Cooper to LA 9 for 14 yards (J.Bethel).
6,K.Raymond,Kalif Raymond,DEN,WR,20.5,25,punt ret,0,1,2016,REG,17,2017010112,1432,2,04:19,"(4:19) M.King punts 68 yards to DEN 2, Center-J.Condo. K.Raymond pushed ob at DEN 27 for 25 yards (J.Olawale). PENALTY on OAK-D.Washington, Unnecessary Roughness, 15 yards, enforced at DEN 27."
7,T.Williams,Tyrell Williams,LAC,WR,20.48,17,reception,0,0,2016,REG,17,2017010114,683,1,03:15,(3:15) (Shotgun) P.Rivers pass short middle to Ty.Williams ran ob at KC 31 for 17 yards (T.Mitchell).
8,T.Williams,Tyrell Williams,LAC,WR,20.48,17,reception,0,0,2016,REG,17,2017010114,3404,4,04:24,(4:24) (Shotgun) P.Rivers pass short middle to Ty.Williams ran ob at SD 28 for 17 yards (P.Gaines).
9,T.Coleman,Tevin Coleman,ATL,RB,20.45,25,rush,0,0,2016,REG,17,2017010100,2427,3,08:55,(8:55) T.Coleman right end pushed ob at NO 36 for 25 yards (V.Bell).
10,T.King,Tavarres King,NYG,WR,20.43,44,reception,0,0,2016,REG,17,2017010111,3494,4,04:02,"(4:02) (No Huddle, Shotgun) E.Manning pass deep left to T.King pushed ob at WAS 25 for 44 yards (W.Blackmon)."
11,R.Hillman,Ronnie Hillman,LAC,RB,20.37,21,reception,0,0,2016,REG,17,2017010114,58,1,14:54,(14:54) (Shotgun) P.Rivers pass short left to R.Hillman ran ob at SD 49 for 21 yards (T.Smith).
12,D.Heyward-Bey,Darrius Heyward-Bey,PIT,WR,20.35,46,reception,0,0,2016,REG,17,2017010108,3266,4,06:54,(6:54) (Shotgun) L.Jones pass deep left to D.Heyward-Bey to CLE 11 for 46 yards (B.Boddy-Calhoun).
13,T.Ginn,Ted Ginn,CAR,WR,20.35,17,rush,0,0,2016,REG,17,2017010109,307,1,10:30,(10:30) T.Ginn left end ran ob at TB 45 for 17 yards (V.Hargreaves).
14,T.Hill,Tyreek Hill,KC,WR,20.27,20,rush,0,0,2016,REG,17,2017010114,2088,3,12:19,"(12:19) T.Hill right end ran ob at SD 18 for 20 yards (K.Emanuel, D.Lowery)."
15,I.Crowell,Isaiah Crowell,CLE,RB,20.23,67,rush,0,0,2016,REG,17,2017010108,3415,4,04:26,"(4:26) (Shotgun) I.Crowell up the middle to PIT 5 for 67 yards (S.Davis, A.Burns)."
16,S.Thompson,Shaq Thompson,CAR,OLB,20.09,21,misc,0,0,2016,REG,17,2017010109,3204,4,12:04,"(12:04) (Field Goal formation) R.Aguayo 48 yard field goal is BLOCKED (K.Short), Center-A.Glanton, Holder-B.Anger, RECOVERED by CAR-S.Thompson at CAR 28. S.Thompson pushed ob at CAR 49 for 21 yards (B.Anger)."
17,T.Ginn,Ted Ginn,CAR,WR,20.07,7,rush,0,0,2016,REG,17,2017010109,1280,2,10:41,(10:41) T.Ginn right end pushed ob at CAR 25 for 7 yards (B.McDougald).
18,S.Draughn,Shaun Draughn,SF,RB,19.98,29,reception,0,0,2016,REG,17,2017010115,317,1,10:52,"(10:52) (No Huddle, Shotgun) C.Kaepernick pass short left to S.Draughn pushed ob at SEA 4 for 29 yards (J.Lane). Caught at SEA 29.  25-yds YAC"
19,J.Hunter,Justin Hunter,BUF,WR,19.84,64,reception,0,0,2016,REG,17,2017010106,3698,4,02:47,(2:47) (Shotgun) C.Jones pass deep right to J.Hunter to NYJ 1 for 64 yards (R.Miles).
