,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,desc
66,A.Morris,Alfred Morris,DAL,RB,19.92,70,rush,0,0,2017,REG,4,2017100104,1121,"(12:39) A.Morris up the middle to LA 5 for 70 yards (K.Webster). Los Angeles Rams challenged the runner was down by contact ruling, and the play was Upheld. The ruling on the field was confirmed. (Timeout #2.)"
67,G.Bernard,Giovani Bernard,CIN,RB,19.9,61,reception,1,0,2017,REG,4,2017100103,,"(1:21) A.Dalton pass short right to G.Bernard for 61 yards, TOUCHDOWN. CLV-E.Ogbah was injured during the play. His return is Questionable."
68,J.Holton,Johnny Holton,OAK,WR,19.88,64,reception,1,0,2017,REG,4,2017100112,1540,"(3:46) (Shotgun) D.Carr pass deep right to J.Holton for 64 yards, TOUCHDOWN."
69,B.Powell,Bilal Powell,NYJ,RB,19.82,75,rush,1,0,2017,REG,4,2017100108,397,"(8:02) L.Thomas reported in as eligible.  B.Powell right tackle for 75 yards, TOUCHDOWN. The Replay Official reviewed the runner was not down by contact ruling, and the play was Upheld. The ruling on the field stands."
70,M.Mariota,Marcus Mariota,TEN,QB,19.78,34,rush,1,0,2017,REG,4,2017100105,1076,"(11:51) (Shotgun) M.Mariota left end for 34 yards, TOUCHDOWN."
71,A.Erickson,Alex Erickson,CIN,WR,19.68,8,punt ret,0,1,2017,REG,4,2017100103,,"(1:55) (Punt formation) B.Colquitt punts 51 yards to CIN 24, Center-C.Hughlett. A.Erickson to CLV 32 for 44 yards (J.Burgess). PENALTY on CIN-G.Bernard, Illegal Blindside Block, 15 yards, enforced at CIN 32. Penalty on CIN-W.Jackson, Illegal Block Above the Waist, declined."
72,M.Breida,Matt Breida,SF,RB,19.55,8,rush,0,0,2017,REG,4,2017100109,,(12:54) M.Breida left end pushed ob at ARZ 11 for 8 yards (D.Bucannon).
73,W.Fuller,Will Fuller,HOU,WR,19.43,4,rush,0,0,2017,REG,4,2017100105,,(10:48) W.Fuller V left end pushed ob at HST 40 for 4 yards (A.Jackson).
74,O.Beckham,Odell Beckham,NYG,WR,19.43,42,reception,0,0,2017,REG,4,2017100111,3705,(7:38) (Shotgun) E.Manning pass deep middle to O.Beckham to TB 33 for 42 yards (V.Hargreaves III).
75,A.Roberts,Andre Roberts,ATL,WR,19.41,61,kickoff ret,0,0,2017,REG,4,2017100101,3481,S.Hauschka kicks 68 yards from BUF 35 to ATL -3. A.Roberts pushed ob at BUF 42 for 61 yards (S.Wright).
76,J.Nelson,Jordy Nelson,GB,WR,19.39,58,reception,0,0,2017,REG,4,2017092800,1564,(5:28) A.Rodgers pass deep middle to J.Nelson pushed ob at CHI 2 for 58 yards (A.Amos).
77,R.Anderson,Robby Anderson,NYJ,WR,19.37,41,reception,0,0,2017,REG,4,2017100108,3101,(11:21) (Shotgun) J.McCown pass deep left to R.Anderson to JAX 14 for 41 yards (A.Bouye).
78,P.Cooper,Pharoh Cooper,LA,WR,19.29,66,kickoff ret,0,0,2017,REG,4,2017100104,921,D.Bailey kicks 66 yards from DAL 35 to LA -1. P.Cooper to DAL 35 for 66 yards (D.Wilson).
79,T.Gurley,Todd Gurley,LA,RB,19.27,53,reception,1,0,2017,REG,4,2017100104,,"(3:09) (Shotgun) J.Goff pass deep middle to T.Gurley for 53 yards, TOUCHDOWN. Pass complete on a ""skinny post."""
80,L.Fournette,Leonard Fournette,JAX,RB,22.05,90,rush,1,0,2017,REG,5,2017100807,4020,"(2:00) J.Wells reported in as eligible.  L.Fournette left tackle for 90 yards, TOUCHDOWN."
81,C.Thompson,Chris Thompson,HOU,WR,21.19,19,reception,0,0,2017,REG,5,2017100811,461,(6:17) (Shotgun) D.Watson pass short middle to C.Thompson ran ob at KC 47 for 19 yards (M.Peters).
82,N.Agholor,Nelson Agholor,PHI,WR,20.82,72,reception,1,0,2017,REG,5,2017100806,2533,"(6:29) (Shotgun) C.Wentz pass deep left to N.Agholor for 72 yards, TOUCHDOWN."
83,D.Jackson,DeSean Jackson,TB,WR,20.5,41,reception,0,0,2017,REG,5,2017100500,3607,(9:53) (Shotgun) J.Winston pass short middle to D.Jackson to NE 48 for 41 yards (D.McCourty).
84,M.Wallace,Mike Wallace,BAL,WR,20.39,54,reception,0,0,2017,REG,5,2017100809,1234,(7:32) J.Flacco pass deep left to M.Wallace to OAK 8 for 54 yards (S.Smith).
85,M.Wallace,Mike Wallace,BAL,WR,20.35,52,reception,0,0,2017,REG,5,2017100809,51,(15:00) J.Flacco pass deep left to M.Wallace to OAK 23 for 52 yards (R.Nelson).
86,A.Green,A.J. Green,CIN,WR,20.09,77,reception,1,0,2017,REG,5,2017100800,273,"(11:39) (Shotgun) A.Dalton pass deep right to A.Green for 77 yards, TOUCHDOWN."
87,T.Smith,Torrey Smith,PHI,WR,20,59,reception,1,0,2017,REG,5,2017100806,856,"(:54) (Shotgun) C.Wentz pass deep middle to T.Smith for 59 yards, TOUCHDOWN."
88,T.Benjamin,Travis Benjamin,LAC,WR,19.92,14,rush,0,0,2017,REG,5,2017100805,2527,(12:58) (Shotgun) T.Benjamin right end pushed ob at NYG 17 for 14 yards (D.Thompson). End around.
89,T.Hill,Tyreek Hill,KC,WR,19.84,82,punt ret,1,0,2017,REG,5,2017100811,3430,"(7:41) S.Lechler punts 52 yards to KC 18, Center-J.Weeks. T.Hill for 82 yards, TOUCHDOWN."
90,J.Johnson,John Johnson,LA,SS,19.7,69,int,0,0,2017,REG,5,2017100808,1235,(10:39) (No Huddle) R.Wilson pass short right intended for L.Willson INTERCEPTED by J.Johnson at LA 12. J.Johnson to SEA 19 for 69 yards (R.Wilson).
91,M.Goodwin,Marquise Goodwin,SF,WR,19.68,51,reception,0,0,2017,REG,5,2017100803,3441,"(9:22) (No Huddle) B.Hoyer pass deep middle to M.Goodwin to IND 8 for 51 yards (M.Farley). Penalty on IND-G.Stewart, Illegal Use of Hands, declined."
92,W.Fuller,Will Fuller,HOU,WR,19.66,48,reception,1,0,2017,REG,5,2017100811,3095,"(12:09) D.Watson pass deep right to W.Fuller V for 48 yards, TOUCHDOWN."
93,T.Smith,Telvin Smith,JAX,OLB,19.62,28,int,1,0,2017,REG,5,2017100807,2606,"(6:44) (Shotgun) B.Roethlisberger pass short left intended for A.Brown INTERCEPTED by T.Smith (A.Jones) at PIT 28. T.Smith for 28 yards, TOUCHDOWN."
94,M.Trubisky,Mitchell Trubisky,CHI,QB,19.62,13,rush,0,1,2017,REG,5,2017100900,3192,"(1:02) (Shotgun) M.Trubisky scrambles right end pushed ob at MIN 49 for 13 yards (A.Sendejo). PENALTY on MIN-T.Waynes, Defensive Holding, 5 yards, enforced at MIN 49."
95,A.Hunt,Akeem Hunt,KC,RB,19.53,34,kickoff ret,0,0,2017,REG,5,2017100811,,K.Fairbairn kicks 69 yards from HST 35 to KC -4. A.Hunt pushed ob at KC 30 for 34 yards (E.Pleasant).
96,J.Mckinnon,Jerick McKinnon,MIN,RB,19.53,58,rush,1,0,2017,REG,5,2017100900,2980,"(3:42) J.McKinnon right end for 58 yards, TOUCHDOWN."
97,B.Cooks,Brandin Cooks,NE,WR,19.43,34,reception,0,0,2017,REG,5,2017100500,2500,(12:52) T.Brady pass deep right to B.Cooks pushed ob at TB 43 for 34 yards (J.Evans).
98,W.Fuller,Will Fuller,HOU,WR,19.29,49,punt ret,0,0,2017,REG,5,2017100811,,"(3:41) D.Colquitt punts 53 yards to HST 14, Center-J.Winchester. W.Fuller V to KC 37 for 49 yards (D.Colquitt)."
99,J.Smith-Schuster,JuJu Smith-Schuster,PIT,WR,19.27,9,kickoff ret,0,0,2017,REG,5,2017100807,1026,J.Myers kicks 56 yards from JAX 35 to PIT 9. J.Smith-Schuster pushed ob at PIT 18 for 9 yards (B.Church).
