,rank,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,quarter,time,desc
0,1,P.Richardson,Paul Richardson,SEA,WR,20.25,27,reception,0,0,2016,POST,18,2017010701,3318,4,04:44,"(4:44) (Shotgun) R.Wilson pass deep left to P.Richardson to DET 40 for 27 yards (N.Lawson) [D.Taylor]. Penalty on DET-N.Lawson, Defensive Pass Interference, declined."
1,2,A.Brown,Antonio Brown,PIT,WR,20.21,50,reception,1,0,2016,POST,18,2017010800,149,1,12:25,"(12:25) (Shotgun) B.Roethlisberger pass short left to A.Brown for 50 yards, TOUCHDOWN."
2,3,A.Cooper,Amari Cooper,OAK,WR,19.98,0,rush,0,0,2016,POST,18,2017010700,2993,3,03:18,(3:18) A.Cooper right end pushed ob at OAK 11 for no gain (J.Joseph). HOU-K.Jackson was injured during the play. His return is Probable.
3,4,A.Brown,Antonio Brown,PIT,WR,19.92,62,reception,1,0,2016,POST,18,2017010800,472,1,07:02,"(7:02) (No Huddle, Shotgun) B.Roethlisberger pass short middle to A.Brown for 62 yards, TOUCHDOWN."
4,5,L.Miller,Lamar Miller,HOU,RB,19.7,19,rush,0,0,2016,POST,18,2017010700,1209,2,12:17,(12:17) L.Miller right tackle ran ob at HOU 48 for 19 yards (R.Nelson).
5,6,T.King,Tavarres King,NYG,WR,19.68,41,reception,1,0,2016,POST,18,2017010801,2598,3,05:23,"(5:23) (No Huddle, Shotgun) E.Manning pass deep middle to T.King for 41 yards, TOUCHDOWN."
6,7,D.Hopkins,DeAndre Hopkins,HOU,WR,19.62,38,reception,0,0,2016,POST,18,2017010700,1923,2,02:00,(2:00) (Shotgun) B.Osweiler pass deep right to D.Hopkins ran ob at OAK 3 for 38 yards.
7,8,D.Randall,Damarious Randall,GB,CB,19.58,78,int,0,0,2016,POST,18,2017010801,4043,4,00:34,"(:34) (No Huddle, Shotgun) E.Manning pass deep right intended for S.Shepard INTERCEPTED by D.Randall at GB -7. D.Randall to NYG 29 for 78 yards (T.King)."
8,9,D.Baldwin,Doug Baldwin,SEA,WR,19.33,42,reception,0,0,2016,POST,18,2017010701,2929,4,11:09,(11:09) R.Wilson pass deep left to D.Baldwin ran ob at DET 23 for 42 yards [H.Ngata].
9,10,D.Adams,Davante Adams,GB,WR,19.25,23,reception,0,0,2016,POST,18,2017010801,2879,3,01:50,(1:50) A.Rodgers pass deep left to D.Adams pushed ob at NYG 14 for 23 yards (E.Apple).
