,rank,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,quarter,time,desc
32,13,N.Agholor,Nelson Agholor,PHI,WR,18.59,10,reception,0,0,2017,POST,19,2018011300,3222,4,10:29,(10:29) (Shotgun) N.Foles pass short right to N.Agholor pushed ob at ATL 24 for 10 yards (B.Poole; K.Neal).
33,14,A.Brown,Antonio Brown,PIT,WR,18.51,27,reception,0,0,2017,POST,19,2018011400,3098,4,10:34,(10:34) B.Roethlisberger pass deep left to A.Brown ran ob at JAX 48 for 27 yards.
34,15,M.Bryant,Martavis Bryant,PIT,WR,18.49,42,reception,0,0,2017,POST,19,2018011400,4136,4,00:58,"(:58) (No Huddle, Shotgun) B.Roethlisberger pass deep right to M.Bryant pushed ob at JAX 5 for 42 yards (B.Church)."
35,16,J.McKinnon,Jerick McKinnon,MIN,RB,18.43,3,reception,0,0,2017,POST,19,2018011401,3101,4,11:22,(11:22) C.Keenum pass short right to J.McKinnon pushed ob at NO 31 for 3 yards (P.Williams).
36,17,B.Bolden,Brandon Bolden,NE,RB,18.14,20,rush,0,0,2017,POST,19,2018011301,3833,4,08:06,(8:06) B.Bolden right end pushed ob at NE 42 for 20 yards (J.Cyprien).
37,18,B.Bortles,Blake Bortles,JAX,QB,17.92,11,rush,0,0,2017,POST,19,2018011400,984,2,14:11,(14:11) (Shotgun) B.Bortles scrambles left end pushed ob at PIT 17 for 11 yards (J.Hargrave).
38,19,T.Coleman,Tevin Coleman,ATL,RB,17.73,5,rush,0,0,2017,POST,19,2018011300,245,1,11:40,(11:40) T.Coleman right end ran ob at PHI 29 for 5 yards (R.McLeod).
39,20,M.Sherels,Marcus Sherels,MIN,CB,17.69,19,punt ret,0,0,2017,POST,19,2018011401,117,1,14:14,"(14:14) (Punt formation) T.Morstead punts 44 yards to MIN 26, Center-Z.Wood. M.Sherels to MIN 45 for 19 yards (T.Morstead)."
40,1,P.Robinson,Patrick Robinson,PHI,CB,19.27,50,int,1,0,2017,POST,20,2018012101,508,1,06:42,"(6:42) (Shotgun) C.Keenum pass short right intended for A.Thielen INTERCEPTED by P.Robinson (C.Long) at 50. P.Robinson for 50 yards, TOUCHDOWN. Quarterback's arm hit by #56 Chris Long."
41,2,P.Dorsett,Phillip Dorsett,NE,WR,18.51,31,reception,0,0,2017,POST,20,2018012100,3095,4,10:19,(10:19) (No Huddle) T.Brady pass deep left to P.Dorsett to JAX 23 for 31 yards (M.Jack). flea flicker
42,3,N.Agholor,Nelson Agholor,PHI,WR,18.37,0,rush,0,0,2017,POST,20,2018012101,721,1,02:57,(2:57) N.Agholor left end pushed ob at MIN 47 for no gain (A.Barr).
