,rank,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,quarter,time,desc
0,1,B.Cooks,Brandin Cooks,NO,WR,22.13,98,reception,1,0,2016,REG,1,2016091105,2762,3,08:03,"(8:03) T.Lelito reported in as eligible.  D.Brees pass deep left to B.Cooks for 98 yards, TOUCHDOWN. Pass 29, YAC 69"
1,2,T.Williams,Tyrell Williams,LAC,WR,21.91,38,reception,0,0,2016,REG,1,2016091104,2836,3,00:26,(:26) (Shotgun) P.Rivers pass short right to Ty.Williams pushed ob at KC 19 for 38 yards (P.Gaines).
2,3,C.Patterson,Cordarrelle Patterson,MIN,WR,21.66,61,kickoff ret,0,0,2016,REG,1,2016091108,2022,3,,R.Succop kicks 60 yards from TEN 35 to MIN 5. C.Patterson pushed ob at TEN 34 for 61 yards (B.McCain).
3,4,P.Dorsett,Phillip Dorsett,IND,WR,21.11,51,reception,0,0,2016,REG,1,2016091111,2298,3,10:33,(10:33) (Shotgun) A.Luck pass deep right to P.Dorsett to DET 31 for 51 yards (D.Slay).
4,5,T.Coleman,Tevin Coleman,ATL,RB,20.88,47,reception,0,0,2016,REG,1,2016091100,1544,2,04:15,(4:15) (Shotgun) M.Ryan pass short right to T.Coleman to TB 10 for 47 yards (C.Conte).
5,6,O.Beckham,Odell Beckham,NYG,WR,20.74,45,reception,0,0,2016,REG,1,2016091110,1095,2,10:15,"(10:15) (No Huddle, Shotgun) E.Manning pass deep left to O.Beckham ran ob at DAL 15 for 45 yards. Go route on left sideline."
6,7,T.Ginn,Ted Ginn,CAR,WR,20.66,20,rush,0,0,2016,REG,1,2016090800,368,1,08:55,(8:55) (Shotgun) T.Ginn left end to DEN 16 for 20 yards (D.Stewart).
7,8,M.Wallace,Mike Wallace,BAL,WR,20.58,66,reception,1,0,2016,REG,1,2016091101,1153,2,10:22,"(10:22) (No Huddle, Shotgun) J.Flacco pass deep middle to M.Wallace for 66 yards, TOUCHDOWN."
8,9,A.Cooper,Amari Cooper,OAK,WR,20.41,34,reception,0,0,2016,REG,1,2016091105,813,1,02:35,"(2:35) D.Carr pass deep left to A.Cooper to NO 6 for 34 yards (J.Byrd). Pass 28, YAC 6"
9,10,J.Richard,Jalen Richard,OAK,RB,20.29,75,rush,1,0,2016,REG,1,2016091105,3869,4,08:38,"(8:38) J.Richard left guard for 75 yards, TOUCHDOWN."
10,11,C.Grant,Corey Grant,JAX,RB,20.25,32,kickoff ret,0,0,2016,REG,1,2016091103,3273,4,,M.Crosby kicks 66 yards from GB 35 to JAX -1. C.Grant pushed ob at JAX 31 for 32 yards (D.Randall).
11,12,J.Grant,Jakeem Grant,MIA,WR,20.25,45,kickoff ret,0,0,2016,REG,1,2016091109,2171,3,,S.Hauschka kicks 69 yards from SEA 35 to MIA -4. J.Grant pushed ob at MIA 41 for 45 yards (S.Hauschka).
12,13,N.Agholor,Nelson Agholor,PHI,WR,20.17,35,reception,1,0,2016,REG,1,2016091107,2562,3,06:23,"(6:23) (Shotgun) C.Wentz pass deep right to N.Agholor for 35 yards, TOUCHDOWN."
13,14,A.Green,A.J. Green,CIN,WR,20.15,54,reception,1,0,2016,REG,1,2016091106,1241,2,11:31,"(11:31) A.Dalton pass deep middle to A.Green for 54 yards, TOUCHDOWN."
14,15,J.Jones,Julio Jones,ATL,WR,20.07,25,reception,1,0,2016,REG,1,2016091100,2865,3,01:42,"(1:42) (No Huddle) M.Ryan pass short middle to J.Jones for 25 yards, TOUCHDOWN."
15,16,E.Royal,Eddie Royal,CHI,WR,20.03,31,punt ret,0,0,2016,REG,1,2016091102,613,1,04:30,"(4:30) S.Lechler punts 49 yards to CHI 29, Center-J.Weeks. E.Royal pushed ob at HOU 40 for 31 yards (S.Lechler)."
16,17,T.Austin,Tavon Austin,LA,WR,19.9,8,punt ret,0,0,2016,REG,1,2016091201,2267,3,13:16,"(13:16) B.Pinion punts 52 yards to LA 33, Center-K.Nelson. T.Austin to LA 41 for 8 yards (J.Tartt)."
17,18,A.Hurns,Allen Hurns,JAX,WR,19.88,38,reception,0,0,2016,REG,1,2016091103,2596,3,09:29,(9:29) (Shotgun) B.Bortles pass deep middle to A.Hurns ran ob at GB 34 for 38 yards (H.Clinton-Dix).
18,19,A.Brown,Antonio Brown,PIT,WR,19.88,26,reception,1,1,2016,REG,1,2016091200,2375,3,07:08,"(7:08) (Shotgun) B.Roethlisberger pass deep left to A.Brown for 26 yards, TOUCHDOWN. PENALTY on PIT-A.Brown, Unsportsmanlike Conduct, 15 yards, enforced between downs."
19,20,T.Austin,Tavon Austin,LA,WR,19.88,28,punt ret,0,0,2016,REG,1,2016091201,2893,3,04:07,"(4:07) B.Pinion punts 48 yards to LA 34, Center-K.Nelson. T.Austin pushed ob at SF 38 for 28 yards (J.Tartt)."
20,1,T.Hill,Tyreek Hill,KC,WR,23.24,27,kickoff ret,0,1,2016,REG,2,2016091803,3901,4,,"N.Novak kicks 70 yards from HOU 35 to KC -5. T.Hill for 105 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on KC, Offensive Holding, 10 yards, enforced at KC 22."
